Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;N-Z;ame_ME;ame_ME_unc;ame_BE/A;ame_BE/A_unc;ame_BDE;ame_BDE_unc;ame_AM;ame_AM_unc;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;ldm_BE;Z_distance;N_distance;rescaled_ame_BE;rescaled_N;rescaled_Z;rescaled_Surf;rescaled_Asym;rescaled_Coul;rescaled_Pair;rescaled_Z_parity;rescaled_N_parity;rescaled_Z_distance;rescaled_N_distance
2;6;3.98750067;31.1063309;8;31.90000536;4.11607506;18.884055770000003;30.2992353048;2.3399648999999982;4;31.609683;0.089;3.924521;0.0111;10663.8784;0.1005;8.033934388;0.095;31.396168000000003;-6.204672900000001;2.125048599999998;-0.5038373599999986;4.0;2.0;1.0;0.3535533905932738;1;1;7.733000000000011;0;2;0.018239320491963362;0.03389830508474576;0.01694915254237288;0.06926051911346175;0.13042229244469983;0.00048108447018283413;0.31358899689946834;1.0;1.0;0.0;0.06896551724137931
2;7;3.41870356;40.3093796;9;30.76833204;-1.1316733200000009;15.26205308;24.614685688;2.984401739999999;5;40.935826;46.816;3.349038;5.2018;15980.9213;46.8169;9.043946414;50.259;30.141342;-7.595898799999999;1.2799374000000026;-0.626990039999999;4.3267487109222245;2.7777777777777777;0.9614997135382722;0.3333333333333333;1;-1;-0.4906011450816692;0;1;0.01764013540118259;0.03954802259887005;0.01694915254237288;0.07680411422617098;0.18114207283986086;0.0004625625802685065;0.29211890240971056;1.0;0.0;0.0;0.034482758620689655
2;8;3.02622509;48.8868408;10;30.2622509;-0.5060811399999992;19.856210150000003;25.042781828000003;-1.63775446;6;49.197147;92.848;2.995134;9.2848;16144.5191;93.7152;10.052815306;99.676;29.95134;-26.362301699999996;-1.4448280000000011;-0.3109108999999996;4.641588833612778;3.6;0.9283177667225556;0.3162277660168379;1;1;-9.547613086553795;0;0;0.017549408586772838;0.04519774011299435;0.01694915254237288;0.0840727776712689;0.2347601264004597;0.00044659926096503246;0.27395584075935253;1.0;1.0;0.0;0.0
3;0;2.7587204;13.590929;3;8.2761612;4.912444000000001;-45.1365776;-303.3527758;-0.0646379889999995;-3;28.667;2000.0;-2.267;667.0;0.0;0.0;3.030775;2147.0;-6.801;-15.2827962;-36.942342;-15.0771612;2.080083823051904;3.0;4.160167646103808;0.5773502691896257;-1;1;-62.12448112051867;1;2;0.0;0.0;0.025423728813559324;0.02493572209020908;0.19563343866704974;0.002001392047897619;0.551221366986568;0.0;1.0;0.045454545454545456;0.06896551724137931
3;1;3.51046538;15.8966074;4;14.04186152;5.765700319999999;-1.2906709000000005;10.19678376;10.67814432;-2;25.32319;212.132;1.1537602999999998;53.033;0.0;0.0;4.027185561;227.733;4.615041199999999;-2.2667552000000004;-25.3362988;-9.42682032;2.5198420997897464;1.0;3.77976314968462;0.5;-1;-1;-7.376374294707514;1;1;0.00545121130959913;0.005649717514124294;0.025423728813559324;0.03508835093397719;0.06521114622234991;0.0018183853522826257;0.46908917680728296;0.0;0.0;0.045454545454545456;0.034482758620689655
3;2;5.08167171;12.6014919;5;25.408358550000003;11.366497030000003;-0.7801275299999979;9.677224140000003;17.132197350000002;-1;11.678887;50.0;5.266132499999999;10.0;-25460.0;2003.0;5.0125378;53.677;26.3306625;19.6488665;33.1316625;0.9223039499999928;2.924017738212866;0.2;3.5088212858554395;0.4472135954999579;-1;1;19.96652593435108;1;0;0.01582051870361342;0.011299435028248588;0.025423728813559324;0.044419489110710544;0.013042229244469983;0.001688039429272015;0.4130394298742808;0.0;1.0;0.045454545454545456;0.0
3;3;5.42123413;13.5538254;6;32.52740478;7.119046229999995;5.997010229999997;16.833611499999996;18.48554326;0;14.086880440000002;0.00144;5.3323312;0.0003;-4288.1534;5.4478;6.01512288742;0.00155;31.9939872;26.2241502;27.378946;-0.5334175799999983;3.3019272488946263;0.0;3.3019272488946267;0.408248290463863;-1;-1;33.74635020906603;1;1;0.01852478186399621;0.01694915254237288;0.025423728813559324;0.05314422540662156;0.0;0.0015885059211167346;0.3716652255289438;0.0;0.0;0.045454545454545456;0.034482758620689655
3;4;5.64216375;14.6574631;7;39.49514625;6.96774147;9.935105789999994;26.40346525;14.086787699999997;1;14.90710463;0.00419;5.6064401;0.0006;-861.893;0.0707;7.01600343426;0.0045;39.2450807;32.6650807;12.9144182;-0.2500655500000022;3.6593057100229713;0.1428571428571428;3.1365477514482616;0.3779644730092272;-1;1;39.8675602621162;1;2;0.021987211808113853;0.022598870056497175;0.025423728813559324;0.061394964652527986;0.00931587803176427;0.0015089444132086467;0.3395092126204265;0.0;1.0;0.045454545454545456;0.06896551724137931
3;5;5.09164381;21.4908409;8;40.73315048;1.2380042300000014;12.949220179999998;27.9421463;8.205745700000001;2;20.945805;0.047;5.1597124;0.0059;16004.1329;0.0591;8.022486244;0.05;41.2776992;16.366760700000004;9.283712000000008;0.5445487200000017;4.0;0.5;3.0;0.3535533905932738;-1;-1;41.266500000000015;1;3;0.02295779633572579;0.02824858757062147;0.025423728813559324;0.06926051911346175;0.03260557311117496;0.0014432534105485023;0.31358899689946834;0.0;0.0;0.045454545454545456;0.10344827586206896
3;6;5.11422443;24.2673454;9;46.02801987;5.294869390000002;14.12801451;33.01207028;6.532873620000004;3;24.954905;0.186;5.0377685;0.0207;13606.4541;0.2014;9.026790191;0.2;45.3399165;20.5277229;6.094835800000001;-0.6881033700000003;4.3267487109222245;1.0;2.8844991406148166;0.3333333333333333;-1;1;39.564623809801546;1;2;0.024897523470541076;0.03389830508474576;0.025423728813559324;0.07680411422617098;0.06521114622234991;0.0013876877408055194;0.29211890240971056;0.0;1.0;0.045454545454545456;0.06896551724137931
3;7;4.70084715;31.3582726;10;47.008471500000006;0.9804516300000046;16.240139460000005;31.502192540000006;6.275321020000007;4;33.052628;12.721;4.5313512000000005;1.2721;20445.1411;12.7216;10.035483453;13.656;45.313512;6.2767022999999975;4.0358128;-1.694959500000003;4.641588833612778;1.6;2.7849533001676674;0.3162277660168379;-1;-1;35.728311946634975;1;1;0.024884915202359255;0.03954802259887005;0.025423728813559324;0.0840727776712689;0.10433783395575986;0.0013397977828950977;0.27395584075935253;0.0;0.0;0.045454545454545456;0.034482758620689655
3;8;4.28000259;39.3580971;11;47.08002849;0.0715569899999906;16.817777589999995;36.67398774;1.0520086199999952;5;40.728259;0.615;4.1553817;0.0559;20551.0898;0.6591;11.043723581;0.66;45.7091987;-14.6112273;0.3692822000000014;-1.370829790000002;4.9460874432487;2.272727272727273;2.6978658781356555;0.3015113445777636;-1;1;30.3680462903098;1;0;0.02507385739136414;0.04519774011299435;0.025423728813559324;0.09110268826217266;0.14820715050534072;0.0012979013766072384;0.25832962591801273;0.0;1.0;0.045454545454545456;0.0
3;9;3.77378011;49.224144;12;45.28536132;-1.7946671699999968;19.16010689;35.77318123;-1.7231101800000062;6;49.009577;30.006;3.7915999;2.5005;23931.8152;30.0669;12.052613942;32.213;45.4991988;-13.443226499999996;0.1856867999999958;0.2138374800000022;5.241482788417793;3.0;2.6207413942088964;0.2886751345948128;-1;-1;23.88759480379781;1;1;0.02497358148925066;0.05084745762711865;0.025423728813559324;0.09792243324554319;0.19563343866704974;0.001260797985119209;0.24469986030056678;0.0;0.0;0.045454545454545456;0.034482758620689655
3;10;3.30170178;59.6587639;13;42.92212314;-2.363238179999996;18.969410100000005;39.704483275;-4.157905349999993;7;56.980895;70.003;3.5076307;5.3848;23321.8152;70.7391;13.061171503;75.15;45.59919910000001;-28.44212089999999;-0.1099995999999955;2.6770759599999963;5.528774813678871;3.769230769230769;2.5517422216979413;0.2773500981126146;-1;1;16.564107170251134;1;2;0.025021332084818177;0.05649717514124294;0.025423728813559324;0.10455509818112321;0.24579585883808813;0.0012276035547687221;0.23267469141766395;0.0;1.0;0.045454545454545456;0.06896551724137931
4;1;1.89266491;27.7641754;5;9.46332455;8.581776137499999;-4.57853697;-5.86920787;1.0844819659999985;-3;37.139;2003.0;0.018;401.0;0.0;0.0;5.03987;2150.0;0.09;-27.4706625;-45.4091988;-9.37332455;2.924017738212866;1.8;7.017642571710879;0.4472135954999579;1;-1;-19.735122501890164;2;1;0.003290483669106556;0.005649717514124294;0.03389830508474576;0.044419489110710544;0.11738006320022985;0.00337607885854403;0.4130394298742808;1.0;0.0;0.09090909090909091;0.034482758620689655
4;2;4.44675303;18.6183643;6;26.68051818;17.21719363;1.272159629999997;0.4920320999999994;25.7989697675;-2;18.375034;5.448;4.4872478000000005;0.908;-28945.0;2003.0;6.019726409;5.848;26.9234868;-2.3476326000000043;-18.675712300000008;0.2429686200000027;3.3019272488946263;0.6666666666666666;6.6038544977892535;0.408248290463863;1;1;15.921573583253142;2;0;0.016103594988303528;0.011299435028248588;0.03389830508474576;0.05314422540662156;0.04347409748156661;0.003177011842233469;0.3716652255289438;1.0;1.0;0.09090909090909091;0.0
4;3;5.40289307;15.5500069;7;37.82025149;11.139733310000004;5.292846710000006;11.289856940000004;28.356926940000005;-1;15.768998;0.071;5.3715487;0.0101;-11907.5551;25.1504;7.016928714;0.076;37.6008409;8.739436300000005;37.510840900000005;-0.2194105900000025;3.6593057100229713;0.1428571428571428;6.273095502896523;0.3779644730092272;1;-1;37.68138647935676;2;1;0.021202079866451534;0.01694915254237288;0.03389830508474576;0.061394964652527986;0.00931587803176427;0.0030178888264172934;0.3395092126204265;1.0;0.0;0.09090909090909091;0.034482758620689655
4;4;6.63648987;8.34972;8;53.09191896;15.271667469999995;13.596772710000003;23.5318785;26.41140078;0;4.941672;0.035;7.0624356;0.0044;-17979.8973;1.0005;8.005305102;0.037;56.4994848;25.1033168;29.575998;3.4075658399999966;4.0;0.0;6.0;0.3535533905932738;1;1;50.81800000000001;2;2;0.03022626781032183;0.022598870056497175;0.03389830508474576;0.06926051911346175;0.0;0.0028865068210970047;0.31358899689946834;1.0;1.0;0.09090909090909091;0.06896551724137931
4;5;6.23748016;13.3756943;9;56.13732144;3.045402479999993;15.404170959999997;28.353391139999992;18.31706994999999;1;11.348451;0.076;6.4626693;0.0085;-1068.0349;0.8994;9.012183062;0.082;58.1640237;28.0226817;20.5631828;2.0267022600000075;4.3267487109222245;0.1111111111111111;5.768998281229633;0.3333333333333333;1;-1;58.2519056865708;2;3;0.03102109266405026;0.02824858757062147;0.03389830508474576;0.07680411422617098;0.007245682913594434;0.002775375481611039;0.29211890240971056;1.0;0.0;0.09090909090909091;0.10344827586206896
4;6;6.46598577;12.9245377;10;64.6598577;8.52253626000001;18.63183783;32.75985234;11.567938740000002;2;12.607487;0.081;6.497630600000001;0.0081;556.8759;0.0822;10.013534692;0.086;64.97630600000001;35.024966;8.476821200000005;0.3164483000000047;4.641588833612778;0.4;5.569906600335335;0.3162277660168379;1;1;61.72919949641811;2;2;0.034273988275353946;0.03389830508474576;0.03389830508474576;0.0840727776712689;0.026084458488939966;0.0026795955657901954;0.27395584075935253;1.0;1.0;0.09090909090909091;0.06896551724137931
4;7;6.00172424;19.6368103;11;66.01896664;1.3591089399999987;19.01049514;35.2506346;9.881645200000008;3;20.177169000000003;0.238;5.9525402000000005;0.0216;11509.4607;0.238;11.02166108;0.255;65.4779422;29.041218200000003;7.313918500000007;-0.541024440000001;4.9460874432487;0.8181818181818182;5.395731756271311;0.3015113445777636;1;-1;62.356724682340165;2;1;0.03451352182983553;0.03954802259887005;0.03389830508474576;0.09110268826217266;0.05335457418192266;0.002595802753214477;0.25832962591801273;1.0;0.0;0.09090909090909091;0.034482758620689655
4;8;5.78316689;24.329155;12;69.39800268;3.3790360400000026;22.317974190000008;39.13575178000001;4.738144980000001;4;25.077761;1.909;5.7207223;0.159;11708.3636;2.3214;12.026922082;2.048;68.6486676;33.8618584;3.672361599999996;-0.7493350799999945;5.241482788417793;1.3333333333333333;5.241482788417793;0.2886751345948128;1;1;60.869271385367554;2;0;0.03602755755003889;0.04519774011299435;0.03389830508474576;0.09792243324554319;0.08694819496313322;0.002521595970238418;0.24469986030056678;1.0;1.0;0.09090909090909091;0.0
4;9;5.18930626;34.3375549;13;67.46098138;-1.9370212999999976;22.175620060000007;41.33572695000001;1.4420147400000047;5;33.65908;10.18;5.241435900000001;0.7831;17097.1315;10.2295;13.036134506;10.929;68.1386667;9.554960700000011;2.6607244999999966;0.677685320000009;5.528774813678871;1.9230769230769231;5.103484443395883;0.2773500981126146;1;-1;57.77323514941997;2;1;0.03578402981347241;0.05084745762711865;0.03389830508474576;0.10455509818112321;0.125406050427596;0.0024552071095374443;0.23267469141766395;1.0;0.0;0.09090909090909091;0.034482758620689655
4;10;4.87522745;41.6167374;14;68.2531843;0.792202919999994;25.33106116;44.30047126;-1.1448183800000038;6;39.954502;132.245;4.9938973;9.4461;16290.8166;133.9357;14.04289292;141.97;69.9145622;-5.638364600000001;1.2658945999999995;1.6613778999999909;5.808785733563703;2.571428571428572;4.978959200197461;0.2672612419124244;1;1;53.42857296244548;2;2;0.03663202794738474;0.05649717514124294;0.03389830508474576;0.11101966540401034;0.16768580457175697;0.002395299948888943;0.22196212551703215;1.0;1.0;0.09090909090909091;0.06896551724137931
4;11;4.37806225;52.2703629;15;65.67093375;-2.5822505499999977;24.70091053000001;45.97245326000001;-1.7900476300000037;7;49.825821000000005;165.797;4.5409708;11.0532;20868.4411;167.1256;15.053490215;177.99;68.114562;-30.6173342;-0.0241046999999962;2.4436282500000037;6.082201995573399;3.2666666666666666;4.865761596458721;0.2581988897471611;1;-1;48.097890450205256;2;3;0.035772519710192956;0.06214689265536723;0.03389830508474576;0.11733198281762827;0.21302307765967637;0.002340842339668325;0.2123395238207877;1.0;0.0;0.09090909090909091;0.10344827586206896
4;12;4.14083195;59.7593613;16;66.2533112;0.5823774499999956;27.61099775;47.98846054;-1.999873100000002;8;57.447139;165.797;4.2852851;10.3623;20335.4399;167.6075;16.061672036;177.99;68.5645616;-28.8973339;-1.350000599999999;2.311250400000006;6.349604207872797;4.0;4.762203155904598;0.25;1;1;41.97706389868621;2;4;0.03598739655461387;0.06779661016949153;0.03389830508474576;0.12350545482960973;0.26084458488939966;0.002291021982161384;0.2036337652109244;1.0;1.0;0.09090909090909091;0.13793103448275862
5;1;1.08531487;38.0046425;6;6.51188922;3.6830636281999993;-2.95143533;-7.5299723;-1.1266931820000003;-4;47.32;2003.0;-0.467;334.0;0.0;0.0;6.0508;2150.0;-2.802;-34.7959872;-70.916562;-9.31388922;3.3019272488946263;2.6666666666666665;11.00642416298209;0.408248290463863;-1;-1;-33.717017473386264;3;1;0.0019095405881232213;0.005649717514124294;0.0423728813559322;0.05314422540662156;0.17389638992626644;0.005295019737055782;0.3716652255289438;0.0;0.0;0.13636363636363635;0.034482758620689655
5;2;3.21901846;30.0547848;7;22.53312922;16.02124;-4.147388960000001;-2.875229330000004;19.7043036282;-3;27.676553;25.15;3.5587055;3.5929;0.0;0.0;7.029712;27.0;24.9109385;-14.3341422;-43.6536231;2.377809280000001;3.6593057100229713;1.2857142857142858;10.455159171494206;0.3779644730092272;-1;1;8.155059530915604;3;0;0.015142594071972347;0.011299435028248588;0.0423728813559322;0.061394964652527986;0.08384290228587847;0.005029814710695489;0.3395092126204265;0.0;1.0;0.13636363636363635;0.0
5;3;4.6037879;23.8289871;8;36.8303032;14.297173980000004;-0.989948290000001;4.302898420000005;30.318413980000003;-2;22.921569;1.0;4.7171551;0.125;-12142.7002;18.2704;8.024607315;1.073;37.7372408;-3.540458400000003;40.5392408;0.9069375999999992;4.0;0.5;10.0;0.3535533905932738;-1;-1;36.38750000000002;3;1;0.021267211435660325;0.01694915254237288;0.0423728813559322;0.06926051911346175;0.03260557311117496;0.004810844701828341;0.31358899689946834;0.0;0.0;0.13636363636363635;0.034482758620689655
5;4;5.99656916;14.7615433;9;53.96912244;17.138819239999997;0.8772034799999986;14.473976190000002;31.43599322;-1;12.416486;0.903;6.2570713;0.1003;-16494.4854;2.3195;9.013329645;0.969;56.31364169999999;10.973725199999992;31.402703199999998;2.3445192599999984;4.3267487109222245;0.1111111111111111;9.614997135382724;0.3333333333333333;-1;1;55.57124448522609;3;2;0.030137526889473455;0.022598870056497175;0.0423728813559322;0.07680411422617098;0.007245682913594434;0.0046256258026850655;0.29211890240971056;0.0;1.0;0.13636363636363635;0.06896551724137931
5;5;6.46290731;12.1729736;10;64.6290731;10.65995066;8.491751660000006;23.89592262;27.7987699;0;12.050611;0.015;6.475083499999999;0.0015;-3648.0623;0.0687;10.012936862;0.016;64.750835;19.437323;27.0135942;0.1217618999999956;4.641588833612778;0.0;9.283177667225557;0.3162277660168379;-1;-1;68.45504956279562;3;3;0.03416632485301217;0.02824858757062147;0.0423728813559322;0.0840727776712689;0.0;0.004465992609650325;0.27395584075935253;0.0;0.0;0.13636363636363635;0.10344827586206896
5;6;6.89515066;9.02677155;11;75.84665726;11.21758416;11.186799559999995;29.81863739;21.87753482;1;8.667708000000001;0.012;6.9277323;0.0011;-1981.6889;0.0608;11.009305166;0.013;76.2050553;30.495856599999996;19.8914136;0.3583980399999973;4.9460874432487;0.0909090909090909;8.992886260452185;0.3015113445777636;-1;1;76.78405344747155;3;2;0.039635766855551535;0.03389830508474576;0.0423728813559322;0.09110268826217266;0.005928286020213628;0.004326337922024128;0.25832962591801273;0.0;1.0;0.13636363636363635;0.06896551724137931
5;7;6.63450575;13.3307419;12;79.614069;3.76741174;13.595102359999998;32.605597499999995;14.9849959;2;13.369398;1.321;6.6312237;0.1101;13369.3979;1.3214;12.014352638;1.418;79.5746844;34.0754856;14.8238494;-0.0393846000000053;5.241482788417793;0.3333333333333333;8.735804647362988;0.2886751345948128;-1;-1;81.71872904968275;3;1;0.041244779992178474;0.03954802259887005;0.0423728813559322;0.09792243324554319;0.021737048740783305;0.004202659950397363;0.24469986030056678;0.0;0.0;0.13636363636363635;0.034482758620689655
5;8;6.52292347;16.2181854;13;84.79800511;5.183936110000005;15.40000243;37.71797662000001;8.951347850000005;3;16.561948;1.0;6.4964194;0.0769;13436.9387;1.0001;13.017779981;1.073;84.4534522;38.8542531;8.248396900000007;-0.3445529100000044;5.528774813678871;0.6923076923076923;8.505807405659803;0.2773500981126146;-1;1;84.06027758318356;3;0;0.043574413684133624;0.04519774011299435;0.0423728813559322;0.10455509818112321;0.045146178153934555;0.004092011849229074;0.23267469141766395;0.0;1.0;0.13636363636363635;0.0
5;9;6.09111118;23.8120117;14;85.27555652000001;0.4775514100000038;17.814575140000002;39.99019520000001;5.6614875200000085;4;23.663686;21.213;6.1016451;1.5152;20643.7926;21.2133;14.02540401;22.773;85.4230314;29.56203139999999;5.848346999999994;0.1474748799999901;5.808785733563703;1.1428571428571428;8.298265333662435;0.2672612419124244;-1;-1;84.3793023017061;3;1;0.04403739213769702;0.05084745762711865;0.0423728813559322;0.11101966540401034;0.07452702425411419;0.003992166581481572;0.22196212551703215;0.0;0.0;0.13636363636363635;0.034482758620689655
5;10;5.81212187;29.9771194;15;87.18182805000001;1.906271529999998;18.92864375000001;44.25970491;2.3838229400000017;5;28.957379;21.029;5.8800438;1.4019;19084.2343;21.0442;15.031087023;22.575;88.200657;14.207729600000006;3.747204800000007;1.0188289499999996;6.082201995573399;1.6666666666666667;8.109602660764535;0.2581988897471611;-1;1;83.09293322838411;3;2;0.04536372092534647;0.05649717514124294;0.0423728813559322;0.11733198281762827;0.10868524370391652;0.0039014038994472085;0.2123395238207877;0.0;1.0;0.13636363636363635;0.06896551724137931
5;11;5.43484879;38.2727509;16;86.95758064;-0.2242474100000038;21.28664689;45.98755742000001;1.682024119999994;6;37.111699;24.566;5.5073535;1.5354;23417.5656;24.8254;16.039841045;26.373;88.117656;15.086728499999998;2.6946246000000103;1.1600753599999931;6.349604207872797;2.25;7.937005259840997;0.25;-1;-1;80.51297683224253;3;3;0.04532408757241953;0.06214689265536723;0.0423728813559322;0.12350545482960973;0.1467250790002873;0.0038183699702689735;0.2036337652109244;0.0;0.0;0.13636363636363635;0.10344827586206896
5;12;5.17970181;45.2467651;17;88.05493077;1.0973501299999953;21.80161957;49.41261732;0.8731027199999915;7;43.716322;204.104;5.2696677;12.0061;22684.4422;204.841;17.046931399;219.114;89.5843509;-21.840433099999995;1.3836938999999984;1.5294201300000054;6.611489018457944;2.8823529411764706;7.778222374656407;0.2425356250363329;-1;1;76.87703498153998;3;4;0.04602444102126758;0.06779661016949153;0.0423728813559322;0.12955154747262904;0.18796153911147917;0.0037419819900758435;0.19570793029776523;0.0;1.0;0.13636363636363635;0.13793103448275862
