;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE
2420;78.0;89.0;7.74125242;-5.89196777;167.0;1292.7891541400002;10.244607120000182;0.4548002800001995;-0.7175581599997258;22.721521790000224;-6.753;7.746;166.99275;1293.582;-21.36860190000013;22.587;0.7928458599999431;30.32571022328558;0.7245508982035929;1090.6360215631933;0.0773823232534136;1.0;-1.0;4.0;7.0;11.0;329.0;0.0;0.0;2.0;306.0;0.04724879456828946;0.5246880525960429;0.5028248587570622;0.24137931034482757;0.0;0.020344579492635365;0.6770379711452371;0.6610169491525424;0.18181818181818182;1.0;0.6209387643424453
2421;78.0;90.0;7.76750851;-9.97290039;168.0;1304.94142968;12.152275539999891;0.7763941900000191;-0.2255276200000935;22.396882660000077;-11.010078;7.7736217;167.988180196;1305.9684456;-20.549608800000044;22.290445599999977;1.0270159199999398;30.446650444080973;0.8571428571428571;1088.4677533758952;0.0771516749810459;1.0;1.0;4.0;8.0;12.0;160.96;-13540.0;427.0;0.8925;149.934;0.055895268190585636;0.5236449324439423;0.5084745762711864;0.27586206896551724;1.0;0.020099672164333934;0.6798300986365656;0.6610169491525424;0.18181818181818182;1.0;0.6268533481423403
2422;78.0;91.0;7.78044224;-11.8548584;169.0;1314.89473856;9.953308879999897;0.9192970399999468;0.2519093099999736;22.105584419999783;-12.464;7.784;168.986619;1315.496;-19.82136779999989;21.914;0.6012614399999165;30.56735094036984;1.0;1086.3166257269902;0.0769230769230769;1.0;-1.0;4.0;9.0;13.0;215.0;-10676.0;359.0;1.0;200.0;0.06521114622234991;0.5226100583386732;0.5141242937853108;0.3103448275862069;0.0;0.019856941798060773;0.6826166916466387;0.6610169491525424;0.18181818181818182;1.0;0.6314027984630085
2423;78.0;92.0;7.80427456;-15.6153564;170.0;1326.7266752;11.831936640000094;1.2569458499999655;0.7509600799999134;21.78524551999999;-16.299202;7.8082365;169.982502087;1327.400205;-19.191180999999865;21.431759400000097;0.6735297999998693;30.687813601627905;1.152941176470588;1084.1824028904543;0.076696498884737;1.0;1.0;4.0;10.0;14.0;19.588;-12596.0;202.0;0.1073;18.246;0.07518461564459164;0.5215833168761063;0.519774011299435;0.3448275862068966;1.0;0.019616356332355922;0.6853977937974797;0.6610169491525424;0.18181818181818182;1.0;0.6370871101951513
2424;78.0;93.0;7.81514788;-17.2076416;171.0;1336.39028748;9.663612279999825;1.3912847799997508;1.234426219999932;21.49554891999992;-17.466569;7.8166017;170.981248868;1336.6388907;-18.395359200000065;21.142890700000105;0.2486032200001773;30.80804029142188;1.3157894736842106;1082.064853744327;0.0764719112901872;1.0;-1.0;4.0;11.0;15.0;86.904;-9904.2655;83.5586;0.4734;80.951;0.0858041397662499;0.5205645968670554;0.5254237288135594;0.3793103448275862;0.0;0.019377884362953304;0.6881734481129543;0.6610169491525424;0.18181818181818182;1.0;0.6414986244049697
2425;78.0;94.0;7.83664799;-20.649292;172.0;1347.90345428;11.513166800000135;1.7436358400000245;1.739737279999872;21.17677907999996;-21.10667;7.839246;171.977341059;1348.350312;-17.70165519999992;20.950106999999843;0.4468577200000254;30.92803284791408;1.4883720930232558;1079.9637516544883;0.0762492851663023;1.0;1.0;4.0;12.0;16.0;11.139;-11788.6592;57.1082;0.0603;10.376;0.09705845019140452;0.5195537892813654;0.5310734463276836;0.41379310344827586;1.0;0.019141495125561445;0.6909436970304214;0.6610169491525424;0.18181818181818182;1.0;0.6470908810483708
2426;78.0;95.0;7.84554243;-21.9533691;173.0;1357.27884039;9.375386109999909;1.87100547;2.230274369999961;20.888552910000044;-21.936758;7.845385599999999;172.976449922;1357.2517088;-17.066190500000026;20.6128180999998;-0.0271315899999535;31.04779308435421;1.670520231213873;1077.8788743620316;0.0760285921269705;1.0;-1.0;4.0;13.0;17.0;68.096;-9104.7415;67.3903;0.3667;63.431;0.10893653906508166;0.5185507871937276;0.536723163841808;0.4482758620689655;0.0;0.018907158479192332;0.6937085824120862;0.6610169491525424;0.18181818181818182;1.0;0.6513413382828269
2427;78.0;96.0;7.86479473;-25.0775146;174.0;1368.47428302;11.195442630000116;2.2384541300000365;2.742438779999929;20.570828740000024;-25.317608;7.8661143;173.972820431;1368.7038882;-16.242465000000085;20.35357620000001;0.229605180000135;31.167322789559027;1.862068965517241;1075.8100038740895;0.0758098043578903;1.0;1.0;4.0;14.0;18.0;11.098;-11259.0;102.0;0.0594;10.338;0.12142765158644465;0.5175554857311591;0.5423728813559322;0.48275862068965514;1.0;0.018674844890018596;0.6964681455560744;0.6610169491525424;0.18181818181818182;1.0;0.6568098057463849
2428;78.0;97.0;7.87176609;-26.0908203;175.0;1377.5590657500002;9.084782730000144;2.3587640100001863;3.239516030000232;20.28022536000026;-25.708684;7.8695216;174.972400593;1377.16628;-15.96136499999999;19.91457120000012;-0.3927857500002574;31.286623728379865;2.0628571428571427;1073.7569263579971;0.0755928946018454;1.0;-1.0;4.0;15.0;19.0;19.982;-8304.998;42.8203;0.1064;18.614;0.1345212787786761;0.5165677820220855;0.5480225988700564;0.5172413793103449;0.0;0.018444525415737947;0.6992224272072259;0.6610169491525424;0.18181818181818182;1.0;0.6608506361076505
2429;78.0;98.0;7.888834;-28.8952637;176.0;1388.434784;10.875718249999863;2.7399350000000595;3.75743827999986;19.96050098000001;-28.933918;7.8889934;175.968938162;1388.4628384;-14.761947200000051;19.75895020000008;0.0280543999999736;31.405697642158756;2.272727272727273;1071.7194320386675;0.0753778361444409;1.0;1.0;4.0;16.0;20.0;13.647;-10412.9516;35.5363;0.0722;12.712;0.14820715050534072;0.5155875751469703;0.5536723163841808;0.5517241379310345;1.0;0.01821617169042758;0.7019714675676251;0.6610169491525424;0.18181818181818182;1.0;0.6662447938398097
