Z;N;dz_BE/A;dz_ME
24;114;1.73953712;855.017822
24;115;1.66092408;872.276917
24;116;1.59152389;888.403442
24;117;1.51682973;905.415222
24;118;1.45109355;921.304199
24;119;1.38024175;938.056335
24;120;1.31810784;953.694824
24;121;1.25102437;970.175171
24;122;1.19243240;985.549866
24;123;1.12903988;1001.74756
24;124;1.07392013;1016.84766
24;125;1.01413870;1032.75256
24;126;0.962415874;1047.56812
24;127;0.886153281;1066.19287
24;128;0.816025496;1084.03748
24;129;0.739872456;1102.94434
24;130;0.669739068;1121.07629
24;131;0.593798161;1140.24878
24;132;0.523776412;1158.64978
24;133;0.448150039;1178.07080
24;134;0.378339320;1196.72400
24;135;0.303125501;1216.37610
24;136;0.233622402;1235.26477
24;137;0.158903271;1255.13245
24;138;8.97919759E-02;1274.24084
24;139;1.56403575E-02;1294.30908
25;8;1.14531088;209.001526
25;9;2.08964372;183.820282
25;10;2.98971486;158.299530
25;11;3.73095441;136.696564
25;12;4.46006489;114.059906
25;13;5.05297613;95.1405945
25;14;5.65524340;74.6705780
25;15;6.08670521;59.8282471
25;16;6.52872992;43.6899109
25;17;6.85319757;31.6049194
25;18;7.20453215;17.7156982
25;19;7.45211744;7.68881226
25;20;7.73737812;-4.52865601
25;21;7.90959787;-12.1167603
25;22;8.12300682;-21.9852295
25;23;8.24867249;-28.0687866
25;24;8.42307663;-36.7919006
25;25;8.51567173;-41.7733459
25;26;8.62478733;-47.7825317
25;27;8.66285992;-50.3157043
25;28;8.75074959;-55.5653687
25;29;8.73526478;-55.4085083
25;30;8.75937176;-57.3983154
25;31;8.72616768;-56.2268372
25;32;8.72948074;-57.0704956
25;33;8.68366718;-55.0713806
25;34;8.67135715;-54.9574280
25;35;8.61677361;-52.2823486
25;36;8.59280872;-51.3659058
25;37;8.53237820;-48.1406250
25;38;8.49984837;-46.5522461
25;39;8.43582630;-42.8833008
25;40;8.39717484;-40.7354126
25;41;8.32461166;-36.2720337
25;42;8.27333832;-33.0899658
25;43;8.19922256;-28.2520142
25;44;8.14655399;-24.7457886
25;45;8.07425404;-19.7598877
25;46;8.02135849;-16.0072632
25;47;7.95166111;-10.9389648
25;48;7.89948511;-7.01043701
25;49;7.83300638;-1.91912842
25;50;7.78232431;2.12042236
25;51;7.68519258;9.79144287
25;52;7.59891748;16.8208618
25;53;7.49937344;25.0577393
25;54;7.40957546;32.7238159
25;55;7.30860662;41.4630737
25;56;7.21634007;49.6994629
25;57;7.11476088;58.8839722
25;58;7.02089024;67.6318970
25;59;6.91937256;77.2098389
25;60;6.82464075;86.4140625
25;61;6.72375154;96.3372803
25;62;6.62877560;105.947815
25;63;6.52897692;116.172668
25;64;6.43428230;126.142944
25;65;6.33597565;136.627625
25;66;6.24201059;146.913879
25;67;6.14551592;157.620728
25;68;6.05265760;168.182434
25;69;5.95825148;179.075317
25;70;5.86681795;189.874634
25;71;5.77479744;200.913147
25;72;5.68399000;212.018066
25;73;5.59441996;223.183289
25;74;5.50768614;234.246948
25;75;5.42285299;245.293945
25;76;5.34024620;256.285767
25;77;5.26015329;267.186340
25;78;5.18171692;278.076538
25;79;5.10634947;288.804382
25;80;5.03210163;299.565491
25;81;4.96141720;310.097290
25;82;4.89137077;320.702271
25;83;4.79856348;333.905396
25;84;4.70359325;347.530029
25;85;4.61079645;361.105408
25;86;4.51556301;375.136963
25;87;4.42303753;389.055603
25;88;4.32781649;403.463959
25;89;4.23577833;417.699799
25;90;4.14081240;432.456543
25;91;4.04947424;446.982300
25;92;3.95497537;462.060608
25;93;3.86450624;476.852325
25;94;3.77066159;492.226746
25;95;3.68122149;507.260254
25;96;3.58820653;522.905151
25;97;3.49992704;538.158508
25;98;3.40787864;554.051880
25;99;3.32088065;569.503174
25;100;3.22993302;585.622070
25;101;3.14431572;601.251343
25;102;3.05457997;617.574829
25;103;2.97043991;633.361572
25;104;2.88201880;649.868774
25;105;2.79942298;665.795593
25;106;2.71239614;682.468140
25;107;2.63141418;698.516724
25;108;2.54585719;715.335693
25;109;2.46653914;731.489868
25;110;2.38251543;748.437927
25;111;2.30490541;764.681763
25;112;2.22246552;781.742432
25;113;2.14947867;797.663574
25;114;2.07050776;814.562500
25;115;1.99925911;830.538208
25;116;1.92393243;847.231262
25;117;1.85641241;862.966553
25;118;1.78466940;879.440857
25;119;1.72080517;894.924011
25;120;1.65256810;911.168884
25;121;1.59228969;926.388367
25;122;1.52749705;942.392029
25;123;1.47071958;957.338989
25;124;1.40930414;973.090454
25;125;1.35594797;987.755981
25;126;1.29783380;1003.24670
25;127;1.22747588;1020.71454
25;128;1.15068388;1039.30762
25;129;1.08050323;1057.03625
25;130;1.00386429;1075.90601
25;131;0.933957934;1093.87903
25;132;0.857579350;1113.00781
25;133;0.788025677;1131.21118
25;134;0.711995184;1150.58325
25;135;0.642886102;1169.00012
25;136;0.567284465;1188.60059
25;137;0.498685718;1207.21765
25;138;0.423584819;1227.03174
25;139;0.355566502;1245.83459
25;140;0.281034231;1265.84827
25;141;0.213652089;1284.82397
25;142;0.139745131;1305.02417
25;143;7.30516016E-02;1324.16028
26;8;0.800725281;226.861160
26;9;1.72838509;201.663727
26;10;2.66962886;174.121948
26;11;3.40707088;152.238342
26;12;4.17321920;127.789001
26;13;4.76964188;108.426682
26;14;5.40432262;86.3412018
26;15;5.84319162;71.0146179
26;16;6.31321812;53.5017090
26;17;6.64862967;40.8371582
26;18;7.02454424;25.7196655
26;19;7.28517914;15.0379333
26;20;7.59172583;1.72299194
26;21;7.77795553;-6.55014038
26;22;8.01004505;-17.3970032
26;23;8.15108490;-24.2466431
26;24;8.34139061;-33.8416138
26;25;8.44960976;-39.6308594
26;26;8.60786533;-48.2383423
26;27;8.65785217;-51.4241333
26;28;8.75909519;-57.4777222
26;29;8.75283909;-57.8213806
26;30;8.79010105;-60.5894775
26;31;8.76479340;-59.8656921
26;32;8.78165913;-61.5372925
26;33;8.74250507;-59.9375000
26;34;8.74395561;-60.6956177
26;35;8.69486523;-58.3737183
26;36;8.68473721;-58.3692627
26;37;8.62870979;-55.4528809
26;38;8.60997009;-54.8108521
26;39;8.54931641;-51.4069824
26;40;8.52431488;-50.2348022
26;41;8.45355415;-45.9467773
26;42;8.41580582;-43.7620239
26;43;8.34322929;-39.0986938
26;44;8.30378342;-36.6093140
26;45;8.23211956;-31.7536011
26;46;8.19209099;-29.0322876
26;47;8.12216187;-24.0481567
26;48;8.08245182;-21.1604614
26;49;8.01490688;-16.1055908
26;50;7.97625351;-13.1115112
26;51;7.87682152;-5.36010742
26;52;7.80197287;0.672607422
26;53;7.69994879;9.00195312
26;54;7.62166595;15.6359863
26;55;7.51803398;24.4799194
26;56;7.43731260;31.6524048
26;57;7.33287621;40.9547119
26;58;7.25054073;48.6093750
26;59;7.14596462;58.3192139
26;60;7.06271362;66.4041748
26;61;6.95855570;76.4746094
26;62;6.87496805;84.9431152
26;63;6.77169561;95.3308105
26;64;6.68826485;104.139221
26;65;6.58625793;114.804932
26;66;6.50340271;123.912781
26;67;6.40298939;134.819153
26;68;6.32105589;144.189331
26;69;6.22250700;155.301758
26;70;6.14180040;164.898499
26;71;6.04471540;176.245300
26;72;5.96435928;186.146912
26;73;5.87010527;197.585022
26;74;5.79354811;207.442078
26;75;5.70376205;218.788269
26;76;5.63104534;228.572998
26;77;5.54573154;239.800659
26;78;5.47688866;249.485962
26;79;5.39602613;260.570984
26;80;5.33107042;270.131714
26;81;5.25463104;281.050964
26;82;5.19356346;290.463074
26;83;5.09426069;304.164856
26;84;5.00768661;316.665161
26;85;4.90854311;330.733765
26;86;4.82177734;343.614380
26;87;4.72302675;358.022766
26;88;4.63632298;371.255371
26;89;4.53817034;385.977966
26;90;4.45174885;399.536072
26;91;4.35438347;414.547455
26;92;4.26843166;428.406769
26;93;4.17200565;443.684387
26;94;4.08669758;457.820770
26;95;3.99135804;473.341522
26;96;3.90683985;487.732727
26;97;3.81270790;503.475525
26;98;3.72910571;518.100830
26;99;3.63628316;534.045959
26;100;3.55371928;548.884094
26;101;3.46229982;565.012085
26;102;3.38087249;580.043823
26;103;3.29093599;596.336182
26;104;3.21072745;611.543701
26;105;3.12233520;627.983765
26;106;3.04342532;643.348877
26;107;2.95663357;659.920166
26;108;2.87908292;675.426636
26;109;2.79393721;692.113647
26;110;2.71779943;707.745850
26;111;2.63434076;724.533325
26;112;2.55965519;740.276855
26;113;2.48014331;756.840759
26;114;2.40871882;772.431458
26;115;2.33147025;788.986206
26;116;2.26351786;804.375244
26;117;2.18992829;820.706482
26;118;2.12538719;835.881836
26;119;2.05537915;851.979065
26;120;1.99417281;866.931091
26;121;1.92767298;882.783813
26;122;1.86973548;897.502319
26;123;1.80665839;913.102417
26;124;1.75192118;927.577637
26;125;1.69218743;942.916992
26;126;1.64057148;957.141785
26;127;1.56328404;975.397522
26;128;1.49245346;992.813538
26;129;1.41550851;1011.31897
26;130;1.34490204;1028.98938
26;131;1.26838768;1047.72864
26;132;1.19808817;1065.63892
26;133;1.12207496;1084.59839
26;134;1.05215931;1102.73413
26;135;0.976722300;1121.89868
26;136;0.907260180;1140.24622
26;137;0.832454741;1159.60376
26;138;0.763512611;1178.14905
26;139;0.689396083;1197.68616
26;140;0.621025443;1216.41772
26;141;0.547646284;1236.12244
26;142;0.479897499;1255.02783
26;143;0.407297045;1274.88879
26;144;0.340218097;1293.95642
26;145;0.268433005;1313.96277
26;146;0.202062473;1333.18140
26;147;0.131123811;1353.32312
26;148;6.54984862E-02;1372.68225
27;8;0.418329000;246.733337
27;9;1.38210917;219.690308
27;10;2.30229521;192.332687
27;11;3.07551241;168.719513
27;12;3.83242321;144.195862
27;13;4.46197701;123.252670
27;14;5.09474421;100.918625
27;15;5.56261921;84.2445068
27;16;6.03509188;66.4369507
27;17;6.39695883;52.5510864
27;18;6.77901125;37.0331421
27;19;7.06336069;25.2454529
27;20;7.37841415;11.4459534
27;21;7.58527946;2.20938110
27;22;7.82784653;-9.19030762
27;23;7.98777485;-16.9431763
27;24;8.18953705;-27.1494751
27;25;8.31424904;-33.7526550
27;26;8.48449612;-43.0186157
27;27;8.58214760;-48.7048950
27;28;8.69665051;-55.5133362
27;29;8.70365810;-56.5310364
27;30;8.75163651;-59.8981018
27;31;8.73990822;-59.8980713
27;32;8.76613235;-62.1138306
27;33;8.74071121;-61.2833252
27;34;8.75026417;-62.5354004
27;35;8.71493912;-61.0241089
27;36;8.71173191;-61.4656372
27;37;8.66939354;-59.3963013
27;38;8.65647507;-59.1546631
27;39;8.60935879;-56.6300049
27;40;8.58913803;-55.8132324
27;41;8.53100872;-52.3781738
27;42;8.49715996;-50.5022583
27;43;8.43771648;-46.7669678
27;44;8.40122700;-44.5426025
27;45;8.34235764;-40.6337891
27;46;8.30438232;-38.1326294
27;47;8.24686813;-34.1095581
27;48;8.20835114;-31.3963013
27;49;8.15281582;-27.3126221
27;50;8.11453247;-24.4461670
27;51;8.02599812;-17.5836792
27;52;7.95033264;-11.5607300
27;53;7.85929966;-4.15704346
27;54;7.77997351;2.48046875
27;55;7.68737411;10.3649902
27;56;7.60537672;17.5548096
27;57;7.51197100;25.8668823
27;58;7.42812729;33.5530396
27;59;7.33454800;42.2440796
27;60;7.24954891;50.3758545
27;61;7.15631390;59.4023438
27;62;7.07074165;67.9333496
27;63;6.97828484;77.2550659
27;64;6.89262581;86.1431885
27;65;6.80130529;95.7233887
27;66;6.71598244;104.928528
27;67;6.62609863;114.732971
27;68;6.54145384;124.219543
27;69;6.45325422;134.216614
27;70;6.36958551;143.950623
27;71;6.28187895;154.247620
27;72;6.19827604;164.313843
27;73;6.11391497;174.623047
27;74;6.03382444;184.669678
27;75;5.95367146;194.882812
27;76;5.87714863;204.882385
27;77;5.80119848;214.975403
27;78;5.72826862;224.903259
27;79;5.65649700;234.854126
27;80;5.58718252;244.685669
27;81;5.51955032;254.474121
27;82;5.45385551;264.186707
27;83;5.36241245;276.862976
27;84;5.27046967;289.777588
27;85;5.17927217;302.792603
27;86;5.08725071;316.083191
27;87;4.99651051;329.411682
27;88;4.90463924;343.051758
27;89;4.81454039;356.669922
27;90;4.72302389;370.634216
27;91;4.63372803;384.519470
27;92;4.54274130;398.784546
27;93;4.45438862;412.915527
27;94;4.36408472;427.459290
27;95;4.27680492;441.814697
27;96;4.18732166;456.615662
27;97;4.10121918;471.176483
27;98;4.01267624;486.214478
27;99;3.92783117;500.963684
27;100;3.84033513;516.219238
27;101;3.75683284;531.138550
27;102;3.67047644;546.593079
27;103;3.58838940;561.665283
27;104;3.50324368;577.302368
27;105;3.42261600;592.513428
27;106;3.33874702;608.316650
27;107;3.25962710;623.651367
27;108;3.17709708;639.604736
27;109;3.09952331;655.049072
27;110;3.01837754;671.137817
27;111;2.94237852;686.678711
27;112;2.86265111;702.889832
27;113;2.78974295;718.305725
27;114;2.71317101;734.383911
27;115;2.64306140;749.697754
27;116;2.56989264;765.589233
27;117;2.50329375;780.680969
27;118;2.43345642;796.375366
27;119;2.37028599;811.236206
27;120;2.30370092;826.725342
27;121;2.24387574;841.347168
27;122;2.18048382;856.619995
27;123;2.12391973;870.995544
27;124;2.06365085;886.043640
27;125;2.01026678;900.165771
27;126;1.95303726;914.982910
27;127;1.88130546;932.147949
27;128;1.80426848;950.278809
27;129;1.73296165;967.669800
27;130;1.65629292;986.045166
27;131;1.58547390;1003.64966
27;132;1.50925481;1022.25446
27;133;1.43898511;1040.05969
27;134;1.36327732;1058.88098
27;135;1.29361784;1076.87402
27;136;1.21847725;1095.89966
27;137;1.14947772;1114.06860
27;138;1.07495928;1133.28589
27;139;1.00666428;1151.61926
27;140;0.932813168;1171.01721
27;141;0.865267515;1189.50342
27;142;0.792125821;1209.07043
27;143;0.725350440;1227.70154
27;144;0.652954280;1247.42737
27;145;0.586991131;1266.19141
27;146;0.515370667;1286.06604
27;147;0.450240314;1304.95483
27;148;0.379425824;1324.96851
27;149;0.315151334;1343.97278
27;150;0.245164454;1364.11658
27;151;0.181756645;1383.22949
27;152;0.112618357;1403.49487
27;153;5.00996001E-02;1422.70703
28;8;0.115572125;264.503296
28;9;1.05546367;237.683105
28;10;2.01088262;208.393097
28;11;2.77421570;184.683609
28;12;3.56398582;158.389969
28;13;4.19192934;137.151642
28;14;4.85433245;113.210205
28;15;5.32464170;96.2039185
28;16;5.82266045;77.0378723
28;17;6.19110060;62.7067566
28;18;6.59603024;45.9602966
28;19;6.88958979;33.6383057
28;20;7.22483397;18.7284241
28;21;7.44212437;8.92770386
28;22;7.70275259;-3.47442627
28;23;7.87508488;-11.8947754
28;24;8.09255791;-23.0070801
28;25;8.23030949;-30.3291016
28;26;8.41406155;-40.4106140
28;27;8.52504349;-46.8573303
28;28;8.68226433;-56.1153564
28;29;8.69858456;-57.6564941
28;30;8.75746727;-61.6988831
28;31;8.75387955;-62.1732788
28;32;8.79156971;-65.1172180
28;33;8.77317524;-64.7153320
28;34;8.79456425;-66.7432556
28;35;8.76522064;-65.6177979
28;36;8.77407360;-66.8782043
28;37;8.73672867;-65.1535034
28;38;8.73596954;-65.7687073
28;39;8.69292068;-63.5490112
28;40;8.68485832;-63.6223755
28;41;8.62912941;-60.3905029
28;42;8.60747814;-59.4326782
28;43;8.55048275;-55.9221191
28;44;8.52603054;-54.6406860
28;45;8.46879673;-50.9172363
28;46;8.44264317;-49.3792725
28;47;8.38598919;-45.5015259
28;48;8.35903358;-43.7675171
28;49;8.30361366;-39.7877808
28;50;8.27658653;-37.9119263
28;51;8.18655777;-31.0048828
28;52;8.12118053;-25.8898926
28;53;8.02847290;-18.4303589
28;54;7.95956326;-12.7368774
28;55;7.86510515;-4.78503418
28;56;7.79360867;1.42694092
28;57;7.69815111;9.81866455
28;58;7.62484264;16.4963989
28;59;7.52901840;25.2796021
28;60;7.45454979;32.3752441
28;61;7.35887623;41.5070190
28;62;7.28379393;48.9769287
28;63;7.18869591;58.4183960
28;64;7.11346054;66.2227783
28;65;7.01929522;75.9380493
28;66;6.94429350;84.0402832
28;67;6.85135746;93.9962769
28;68;6.77691269;102.363037
28;69;6.68545437;112.528931
28;70;6.61184216;121.128906
28;71;6.51979685;131.700867
28;72;6.44605780;140.626404
28;73;6.35797501;151.148071
28;74;6.28753805;160.046082
28;75;6.20341873;170.494141
28;76;6.13632393;179.340027
28;77;6.05616379;189.691833
28;78;5.99243402;198.462463
28;79;5.91621256;208.697083
28;80;5.85585213;217.371216
28;81;5.78353357;227.469421
28;82;5.72654152;236.026428
28;83;5.62934065;249.160522
28;84;5.54519320;261.027100
28;85;5.44835997;274.495422
28;86;5.36421680;286.710815
28;87;5.26794863;300.488770
28;88;5.18401814;313.028137
28;89;5.08848238;327.093201
28;90;5.00494289;339.933777
28;91;4.91028881;354.264038
28;92;4.82730389;367.383301
28;93;4.73365450;381.958923
28;94;4.65135813;395.336853
28;95;4.55883217;410.137573
28;96;4.47734165;423.754883
28;97;4.38602734;438.763245
28;98;4.30545139;452.601135
28;99;4.21542931;467.799927
28;100;4.13585567;481.841248
28;101;4.04719543;497.213989
28;102;3.96870494;511.441895
28;103;3.88146210;526.973389
28;104;3.80411839;541.372742
28;105;3.71834230;557.048096
28;106;3.64219904;571.604370
28;107;3.55792594;587.410461
28;108;3.48303795;602.108582
28;109;3.40029526;618.032837
28;110;3.32669592;632.860535
28;111;3.24550724;648.890503
28;112;3.17323065;663.835083
28;113;3.09428644;679.864258
28;114;3.02500319;694.679688
28;115;2.94959068;710.510010
28;116;2.88356996;725.138733
28;117;2.81160426;740.761719
28;118;2.74877381;755.194641
28;119;2.68017101;770.601929
28;120;2.62045360;784.831299
28;121;2.55513573;800.014526
28;122;2.49846458;814.031494
28;123;2.43633962;828.985291
28;124;2.38263488;842.783325
28;125;2.32363129;857.499756
28;126;2.27281260;871.073486
28;127;2.19462371;888.991333
28;128;2.12319684;906.010742
28;129;2.04558468;924.143982
28;130;1.97459471;941.386108
28;131;1.89762211;959.721680
28;132;1.82712817;977.174377
28;133;1.75083899;995.701355
28;134;1.68090594;1013.35095
28;135;1.60534871;1032.05713
28;136;1.53601432;1049.89417
28;137;1.46123254;1068.76843
28;138;1.39254308;1086.78101
28;139;1.31857121;1105.81323
28;140;1.25056553;1123.99097
28;141;1.17742991;1143.17188
28;142;1.11014283;1161.50452
28;143;1.03787112;1180.82410
28;144;0.971328139;1199.30310
28;145;0.899944484;1218.75244
28;146;0.834167242;1237.36902
28;147;0.763688028;1256.94031
28;148;0.698703766;1275.68506
28;149;0.629146099;1295.36963
28;150;0.564964056;1314.23621
28;151;0.496335626;1334.02698
28;152;0.432976395;1353.00684
28;153;0.365281135;1372.89807
28;154;0.302756369;1391.98352
28;155;0.236002430;1411.96826
28;156;0.174310803;1431.15479
28;157;0.108503424;1451.22644
28;158;4.76564988E-02;1470.50671
29;9;0.673398018;258.435181
29;10;1.60635912;229.447662
29;11;2.40321851;204.038315
29;12;3.18089581;177.821671
29;13;3.83925366;155.061157
29;14;4.49599743;131.053284
29;15;4.99689817;112.589066
29;16;5.49739981;93.1409302
29;17;5.89330244;77.5034180
29;18;6.30366945;60.3942261
29;19;6.62151003;46.9056091
29;20;6.96401405;31.5727539
29;21;7.20373917;20.6939087
29;22;7.47307730;7.82525635
29;23;7.66406727;-1.50787354
29;24;7.89079332;-13.1170654
29;25;8.04447746;-21.2354431
29;26;8.23767281;-31.8342590
29;27;8.36205578;-38.9660034
29;28;8.52865696;-48.7529297
29;29;8.58835697;-52.6728516
29;30;8.66049671;-57.4460449
29;31;8.67081738;-58.6543884
29;32;8.71998024;-62.2528076
29;33;8.71527290;-62.6095276
29;34;8.74650383;-65.2209473
29;35;8.73054600;-64.8747864
29;36;8.74773502;-66.6512451
29;37;8.72342873;-65.7233582
29;38;8.72961617;-66.7899780
29;39;8.69920826;-65.3804932
29;40;8.69681072;-65.8428955
29;41;8.65422916;-63.4875488
29;42;8.63704300;-62.8502197
29;43;8.59180546;-60.1588135
29;44;8.57063389;-59.1336670
29;45;8.52462959;-56.2285767
29;46;8.50064659;-54.8831177
29;47;8.45467472;-51.8186035
29;48;8.42883968;-50.2125854
29;49;8.38355255;-47.0376587
29;50;8.35665035;-45.2245483
29;51;8.27852917;-39.2601318
29;52;8.21485710;-34.3098145
29;53;8.13387203;-27.8125000
29;54;8.06614304;-22.2535400
29;55;7.98319912;-15.2810059
29;56;7.91237640;-9.17285156
29;57;7.82821083;-1.77563477
29;58;7.75509834;4.82830811
29;59;7.67032290;12.6048584
29;60;7.59558868;19.6572876
29;61;7.51070499;27.7725830
29;62;7.43491220;35.2303467
29;63;7.35033989;43.6475220
29;64;7.27396011;51.4719238
29;65;7.19004011;60.1577148
29;66;7.11347675;68.3126221
29;67;7.03049803;77.2365112
29;68;6.95409012;85.6889648
29;69;6.87228966;94.8226318
29;70;6.79631710;103.543030
29;71;6.71438599;113.011230
29;72;6.63779783;122.103638
29;73;6.55861521;131.613770
29;74;6.48490381;140.718872
29;75;6.40931940;150.166138
29;76;6.33854008;159.260071
29;77;6.26655197;168.623535
29;78;6.19873142;177.685181
29;79;6.13031626;186.946716
29;80;6.06548309;195.954651
29;81;6.00060415;205.097107
29;82;5.93876123;214.032471
29;83;5.85042667;226.058594
29;84;5.76300001;238.158813
29;85;5.67494965;250.504822
29;86;5.58743525;262.965454
29;87;5.49985647;275.608582
29;88;5.41246414;288.405029
29;89;5.32550478;301.325073
29;90;5.23841810;314.434265
29;91;5.15222120;327.610901
29;92;5.06558418;341.013184
29;93;4.98026991;354.427185
29;94;4.89421940;368.102539
29;95;4.80988789;381.736877
29;96;4.72453976;395.666809
29;97;4.64127684;409.504761
29;98;4.55673170;423.672119
29;99;4.47461128;437.698242
29;100;4.39096165;452.085693
29;101;4.31004763;466.284973
29;102;4.22736597;480.877686
29;103;4.14770555;495.236877
29;104;4.06605530;510.019958
29;105;3.98769403;524.525696
29;106;3.90713072;539.485474
29;107;3.83010244;554.125610
29;108;3.75067043;569.248962
29;109;3.67499566;584.012817
29;110;3.59673643;599.287292
29;111;3.52243948;614.163513
29;112;3.44537687;629.578247
29;113;3.37381649;644.365845
29;114;3.29950333;659.690186
29;115;3.23047209;674.402588
29;116;3.15926266;689.568787
29;117;3.09346223;704.087769
29;118;3.02528381;719.087952
29;119;2.96262884;733.407043
29;120;2.89741349;748.232788
29;121;2.83782220;762.345459
29;122;2.77549744;776.990112
29;123;2.71888471;790.891113
29;124;2.65938187;805.347473
29;125;2.60567069;819.031006
29;126;2.54890323;833.295715
29;127;2.47716689;850.009033
29;128;2.40110183;867.545410
29;129;2.32990623;884.464661
29;130;2.25431323;902.225342
29;131;2.18371153;919.338684
29;132;2.10864472;937.312134
29;133;2.03868461;954.608459
29;134;1.96419084;972.783569
29;135;1.89490616;990.253418
29;136;1.82102942;1008.61963
29;137;1.75245667;1026.25305
29;138;1.67923272;1044.80029
29;139;1.61140549;1062.58740
29;140;1.53886878;1081.30615
29;141;1.47181201;1099.23840
29;142;1.39998913;1118.11963
29;143;1.33372033;1136.18921
29;144;1.26262975;1155.22559
29;145;1.19717526;1173.42346
29;146;1.12684405;1192.60547
29;147;1.06221020;1210.92566
29;148;0.992656469;1230.24585
29;149;0.928857207;1248.68091
29;150;0.860091627;1268.13232
29;151;0.797129035;1286.67688
29;152;0.729163766;1306.25293
29;153;0.667051136;1324.89966
29;154;0.599893272;1344.59375
29;155;0.538624704;1363.33875
29;156;0.472282082;1383.14490
29;157;0.411861062;1401.98230
29;158;0.346328855;1421.89624
29;159;0.286756903;1440.82092
29;160;0.222037524;1460.83752
29;161;0.163306043;1479.84570
29;162;9.93986949E-02;1499.96021
29;163;4.15013358E-02;1519.04846
30;9;0.279151350;280.426422
30;10;1.24925745;249.414398
30;11;2.03659391;223.955734
30;12;2.84738493;195.937286
30;13;3.50260711;172.986710
30;14;4.18819571;147.389618
30;15;4.69328356;128.543823
30;16;5.22215319;107.593933
30;17;5.62520790;91.4995728
30;18;6.06046677;73.0533447
30;19;6.38723993;59.0523376
30;20;6.75133705;42.5316467
30;21;7.00212431;31.0615234
30;22;7.29034376;17.1434021
30;23;7.49217033;7.22760010
30;24;7.73493147;-5.30230713
30;25;7.89961290;-14.0233154
30;26;8.10623646;-25.4224548
30;27;8.24153423;-33.1692810
30;28;8.41916561;-43.6420593
30;29;8.49218369;-48.2979126
30;30;8.60358810;-55.4029846
30;31;8.62464142;-57.2194824
30;32;8.68561649;-61.5531921
30;33;8.69009686;-62.4496460
30;34;8.73311901;-65.8218079
30;35;8.72492313;-65.9508057
30;36;8.75379944;-68.5101624
30;37;8.73594189;-67.9961548
30;38;8.75363636;-69.8639526
30;39;8.72845554;-68.8087158
30;40;8.73732376;-70.0865479
30;41;8.69964314;-68.0772095
30;42;8.69346714;-68.2608032
30;43;8.65124798;-65.8008423
30;44;8.64070606;-65.6005859
30;45;8.59666634;-62.8670044
30;46;8.58290958;-62.3468018
30;47;8.53791904;-59.3940430
30;48;8.52187443;-58.6090698
30;49;8.47662926;-55.4852905
30;50;8.45908070;-54.4865723
30;51;8.38219833;-48.6467896
30;52;8.32967377;-44.6506348
30;53;8.24943256;-38.2489014
30;54;8.19272041;-33.6630859
30;55;8.11004543;-26.7570801
30;56;8.05008888;-21.6394653
30;57;7.96574736;-14.2805176
30;58;7.90331697;-8.68096924
30;59;7.81793499;-0.913879395
30;60;7.75369215;5.12139893
30;61;7.66778421;13.2566528
30;62;7.60227060;19.6875610
30;63;7.51627541;28.1542358
30;64;7.44994736;34.9441528
30;65;7.36421919;43.7097168
30;66;7.29747057;50.8247681
30;67;7.21230555;59.8596802
30;68;7.14545822;67.2698364
30;69;7.06110907;76.5462646
30;70;6.99443531;84.2239380
30;71;6.91026926;93.8016357
30;72;6.84260845;101.864197
30;73;6.76005316;111.596130
30;74;6.69494724;119.678467
30;75;6.61561060;129.385254
30;76;6.55310535;137.466614
30;77;6.47699022;147.129150
30;78;6.41711807;155.189758
30;79;6.34421825;164.790100
30;80;6.28700018;172.811279
30;81;6.21728468;182.334045
30;82;6.16272402;190.298950
30;83;6.07082033;202.592712
30;84;5.99207449;213.570312
30;85;5.90038300;226.194092
30;86;5.82147789;237.518127
30;87;5.73017645;250.450256
30;88;5.65130377;262.098511
30;89;5.56054592;275.318726
30;90;5.48187351;287.270264
30;91;5.39179707;300.758972
30;92;5.31346655;312.994934
30;93;5.22417974;326.735107
30;94;5.14631844;339.237122
30;95;5.05792713;353.211060
30;96;4.98063803;365.962952
30;97;4.89322281;380.155457
30;98;4.81660509;393.140625
30;99;4.73023701;407.536926
30;100;4.65437174;420.740540
30;101;4.56910706;435.327209
30;102;4.49406481;448.735107
30;103;4.40995455;463.499023
30;104;4.33579445;477.097900
30;105;4.25287962;492.027039
30;106;4.17964315;505.805603
30;107;4.09795809;520.888367
30;108;4.02569294;534.834229
30;109;3.94526029;550.060120
30;110;3.87400293;564.162292
30;111;3.79483914;579.521667
30;112;3.72460985;593.770813
30;113;3.64866018;608.978394
30;114;3.58089542;623.159180
30;115;3.50664473;638.416138
30;116;3.44178009;652.451050
30;117;3.37061596;667.541809
30;118;3.30857801;681.424194
30;119;3.24041677;696.342957
30;120;3.18113303;710.066528
30;121;3.11589980;724.807007
30;122;3.05929875;738.365723
30;123;2.99691272;752.923035
30;124;2.94292688;766.311218
30;125;2.88330483;780.681152
30;126;2.83185768;793.895020
30;127;2.75529528;811.154724
30;128;2.68565917;827.473328
30;129;2.60967994;844.939819
30;130;2.54047966;861.473450
30;131;2.46512985;879.135681
30;132;2.39641380;895.874023
30;133;2.32172561;913.723145
30;134;2.25353384;930.656128
30;135;2.17955041;948.681274
30;136;2.11191940;965.799927
30;137;2.03866315;983.993164
30;138;1.97162449;1001.28833
30;139;1.89912045;1019.64130
30;140;1.83270800;1037.10376
