Z;N;dz_BE/A;dz_ME
7;29;3.20463371;169.726379
7;30;2.98595428;182.684296
7;31;2.78921676;195.245728
7;32;2.55719280;209.576843
7;33;2.35516858;223.171982
7;34;2.12000632;238.529877
7;35;1.92096889;252.840790
7;36;1.69051170;268.900879
7;37;1.50082052;283.628143
7;38;1.28110886;300.085754
7;39;1.10563159;314.947968
7;40;0.901294410;331.517578
7;41;0.739869833;346.436005
7;42;0.550810337;363.031464
7;43;0.411626011;377.511230
7;44;0.246464446;393.594238
7;45;0.132279158;407.356781
8;2;1.44262528;60.0287476
8;3;3.02364945;49.2662392
8;4;4.81124640;32.8628082
8;5;5.81126642;23.1226807
8;6;6.99598646;8.79670715
8;7;7.45149565;3.03945923
8;8;7.99398994;-5.02056122
8;9;7.81274414;-1.86199951
8;10;7.83562803;-2.01527405
8;11;7.59940529;2.70870972
8;12;7.56103277;3.94813538
8;13;7.34689617;8.95535278
8;14;7.31554604;10.3695374
8;15;7.04261446;17.4028015
8;16;6.88079071;22.3153381
8;17;6.58122540;30.9950562
8;18;6.38972759;37.4641571
8;19;6.09426355;47.1233368
8;20;5.90138865;54.5009613
8;21;5.60258436;65.3362732
8;22;5.39665079;73.9830780
8;23;5.12707663;85.0146027
8;24;4.94651699;93.7368011
8;25;4.71619368;104.462357
8;26;4.56942797;112.807541
8;27;4.38365412;122.811600
8;28;4.27632809;130.363037
8;29;4.05256748;142.437271
8;30;3.87066340;153.368408
8;31;3.63531923;166.747574
8;32;3.44177198;178.925491
8;33;3.20408559;193.300278
8;34;3.00767183;206.416931
8;35;2.77469897;221.498489
8;36;2.58220530;235.264862
8;37;2.35938048;250.781189
8;38;2.17605782;264.925995
8;39;1.96755934;280.620789
8;40;1.79746068;294.889313
8;41;1.60210836;310.735535
8;42;1.44356215;325.132080
8;43;1.26892662;340.666321
8;44;1.13141215;354.619507
8;45;0.980664790;369.549133
8;46;0.865662515;382.849915
8;47;0.739843071;396.975739
8;48;0.648407996;409.427612
8;49;0.548171043;422.564056
8;50;0.480990022;433.983795
8;51;0.346091717;449.533173
8;52;0.224138916;464.575653
8;53;7.87730888E-02;481.290192
9;2;0.515439987;76.0741959
9;3;2.26006627;62.6946182
9;4;3.97315645;46.2357597
9;5;5.14404821;33.9414978
9;6;6.36165953;18.6046524
9;7;6.96310425;10.6912613
9;8;7.58744287;1.18577576
9;9;7.75390863;-1.32667542
9;10;7.87520552;-3.31384277
9;11;7.73759747;-0.365509033
9;12;7.75997353;-0.501617432
9;13;7.62436199;2.79324341
9;14;7.62257719;3.28131104
9;15;7.42015696;8.58819580
9;16;7.28081226;12.7230377
9;17;7.04765368;19.5757294
9;18;6.86918116;25.4182129
9;19;6.63463974;33.1875763
9;20;6.44596386;40.0959167
9;21;6.20236826;49.0292053
9;22;5.99193144;57.4217529
9;23;5.76971340;66.6121826
9;24;5.57679319;75.2802124
9;25;5.38671923;84.2372894
9;26;5.22014332;92.7521362
9;27;5.06743860;101.100708
9;28;4.93326616;109.069061
9;29;4.74258280;119.453125
9;30;4.53864288;130.735596
9;31;4.33771229;142.305527
9;32;4.12348843;154.822403
9;33;3.92042065;167.299118
9;34;3.70384192;180.763000
9;35;3.50482249;193.887360
9;36;3.29202604;208.029785
9;37;3.10182643;221.558289
9;38;2.89755321;236.128723
9;39;2.71987319;249.831161
9;40;2.52781534;264.593536
9;41;2.36119866;278.467896
9;42;2.17845321;293.498138
9;43;2.02905631;307.159668
9;44;1.86578155;321.855591
9;45;1.73762357;334.981689
9;46;1.59520817;349.148315
9;47;1.48925710;361.557709
9;48;1.36869562;375.011810
9;49;1.28559351;386.534454
9;50;1.18756115;399.104126
9;51;1.07120252;412.969482
9;52;0.922954917;429.012726
9;53;0.797548950;443.936371
9;54;0.641750991;461.025452
9;55;0.510682106;476.843506
9;56;0.350525260;494.814362
9;57;0.216673568;511.369476
9;58;5.48875555E-02;530.063782
10;3;1.53182900;77.1906738
10;4;3.41553903;57.3582802
10;5;4.63057280;43.7886124
10;6;5.97404337;25.7338867
10;7;6.66126966;16.1483688
10;8;7.38841915;4.46978760
10;9;7.65431118;0.100799561
10;10;8.04276276;-7.25115967
10;11;7.96304178;-5.54840088
10;12;8.05407906;-7.44288635
10;13;7.95039320;-5.04080200
10;14;8.00694180;-6.27697754
10;15;7.82137823;-1.57345581
10;16;7.74164248;0.749679565
10;17;7.51750088;7.13124084
10;18;7.39659834;11.0703888
10;19;7.16374159;18.4980164
10;20;7.02898312;23.4484100
10;21;6.78011703;32.2056580
10;22;6.61890697;38.6556396
10;23;6.38491678;47.8297882
10;24;6.23595715;54.5808563
10;25;6.02792978;63.6972656
10;26;5.89967489;70.3578644
10;27;5.72311592;79.0622711
10;28;5.62144089;85.2741547
10;29;5.40563345;96.1406250
10;30;5.23623514;105.582275
10;31;5.01178455;117.619919
10;32;4.83265591;128.202881
10;33;4.60692644;141.148010
10;34;4.42517138;152.609665
10;35;4.20377541;166.218719
10;36;4.02488756;178.315125
10;37;3.81213212;192.361160
10;38;3.64037156;204.864883
10;39;3.43959165;219.134140
10;40;3.27828550;231.831207
10;41;3.08713865;246.372818
10;42;2.93241596;259.402618
10;43;2.75734949;273.820129
10;44;2.61980987;286.561279
10;45;2.46476555;300.540314
10;46;2.34569693;312.814758
10;47;2.21155691;326.186432
10;48;2.11190319;337.826141
10;49;1.99926209;350.431396
10;50;1.91968703;361.278076
10;51;1.77473533;376.271790
10;52;1.64667749;390.508057
10;53;1.49492466;406.493164
10;54;1.36023724;421.689636
10;55;1.20458925;438.517853
10;56;1.06607652;454.526520
10;57;0.909008503;472.055359
10;58;0.769058406;488.734375
10;59;0.612650692;506.828796
10;60;0.473283380;524.043274
10;61;0.319324076;542.572449
10;62;0.182258055;560.193298
10;63;3.22406068E-02;579.033630
11;3;0.902195156;91.7627335
11;4;2.67594624;72.3256531
11;5;4.01988029;56.2181396
11;6;5.35787201;37.5237808
11;7;6.16177893;25.7669678
11;8;6.93294811;13.0243530
11;9;7.29923105;6.83712769
11;10;7.74635410;-1.78030396
11;11;7.90865135;-5.02581787
11;12;8.06556988;-8.47221375
11;13;8.02840996;-7.57456970
11;14;8.12685871;-9.99282837
11;15;8.00095940;-6.77490234
11;16;7.95282555;-5.40487671
11;17;7.78549242;-0.600997925
11;18;7.68705606;2.53955078
11;19;7.50709057;8.32283020
11;20;7.38656950;12.6232758
11;21;7.18588686;19.7299347
11;22;7.03160954;25.7065735
11;23;6.84124517;33.2187347
11;24;6.69233942;39.6605377
11;25;6.52279902;47.1430359
11;26;6.38817930;53.6725464
11;27;6.24486208;60.8018036
11;28;6.13080359;67.0765991
11;29;5.94606495;76.4067383
11;30;5.76473570;85.9665375
11;31;5.57188511;96.3729248
11;32;5.38087988;107.085632
11;33;5.18659782;118.324539
11;34;4.99261522;129.938553
11;35;4.80196571;141.787186
11;36;4.61017179;154.070908
11;37;4.42704821;166.322052
11;38;4.24144840;179.060791
11;39;4.06886148;191.520065
11;40;3.89259195;204.512329
11;41;3.72717500;217.292801
11;42;3.55568933;230.725739
11;43;3.40469670;243.395035
11;44;3.24895859;256.627319
11;45;3.11593604;268.898987
11;46;2.97718620;281.763184
11;47;2.86295414;293.482849
11;48;2.74210954;305.821045
11;49;2.64723682;316.842712
11;50;2.54495263;328.506165
11;51;2.41720271;341.953125
11;52;2.26813960;356.998260
11;53;2.13457823;371.349426
11;54;1.98034060;387.311676
11;55;1.84351361;402.433319
11;56;1.68657446;419.176086
11;57;1.54864669;434.940002
11;58;1.39110816;452.332886
11;59;1.25390947;468.617065
11;60;1.09755552;486.535645
11;61;0.962656319;503.222260
11;62;0.808998466;521.547974
11;63;0.677723169;538.524780
11;64;0.528049886;557.143860
11;65;0.401513726;574.303955
11;66;0.256905258;593.108704
11;67;0.136050284;610.349792
12;3;0.299748510;107.186264
12;4;2.19772410;84.5902863
12;5;3.53253388;67.7721786
12;6;4.97270107;46.3880157
12;7;5.81759787;33.4336548
12;8;6.67751837;18.4890289
12;9;7.10688543;10.8661804
12;10;7.62406158;0.452804565
12;11;7.85286236;-4.36228943
12;12;8.20148849;-12.5108032
12;13;8.20364475;-12.6948242
12;14;8.34830856;-16.5883331
12;15;8.24809265;-14.1594391
12;16;8.24736309;-14.3157196
12;17;8.09810257;-10.1631470
12;18;8.04648304;-8.64128113
12;19;7.87761831;-3.38157654
12;20;7.80186415;-0.763687134
12;21;7.60557318;5.98342896
12;22;7.49345112;10.2613831
12;23;7.30223227;17.5319824
12;24;7.19197321;22.2704163
12;25;7.01608181;29.6578064
12;26;6.91620684;34.5083618
12;27;6.76136875;41.7022095
12;28;6.67790604;46.3507385
12;29;6.47883368;55.9061890
12;30;6.32840490;63.8167419
12;31;6.12146616;74.4580688
12;32;5.96158123;83.4429321
12;33;5.75309992;94.9343872
12;34;5.58990622;104.759583
12;35;5.38465834;116.887695
12;36;5.22288561;127.339523
12;37;5.02453375;139.907242
12;38;4.86785316;150.788132
12;39;4.67921877;163.612015
12;40;4.53050232;174.737427
12;41;4.34715509;187.995712
12;42;4.20126390;199.598053
12;43;4.03177309;212.790161
12;44;3.89986014;224.216904
12;45;3.74714088;237.093414
12;46;3.63035989;248.190964
12;47;3.49519873;260.606506
12;48;3.39440918;271.230011
12;49;3.27735066;283.047546
12;50;3.19319010;293.059540
12;51;3.04291677;307.404968
12;52;2.91236067;320.789001
12;53;2.75777221;335.996277
12;54;2.62268257;350.225830
12;55;2.46601653;366.171112
12;56;2.32858086;381.122131
12;57;2.17173719;397.687134
12;58;2.03381228;413.241516
12;59;1.87841344;430.312378
12;60;1.74158716;446.356873
12;61;1.58899462;463.825897
12;62;1.45462227;480.251892
12;63;1.30600679;498.014771
12;64;1.17522919;514.719238
12;65;1.03157020;532.677124
12;66;0.905363142;549.561096
12;67;0.767487645;567.619263
12;68;0.646660745;584.589355
12;69;0.515268385;602.656799
12;70;0.400512964;619.622925
12;71;0.277932554;637.467896
12;72;0.171513692;654.200562
12;73;5.78827001E-02;671.759033
13;4;1.62415123;99.4323349
13;5;3.04448700;80.3135223
13;6;4.44373941;58.7546158
13;7;5.37615490;43.7339478
13;8;6.24820232;28.1161804
13;9;6.75884724;18.7051697
13;10;7.30980396;7.34570312
13;11;7.60624647;0.992660522
13;12;7.99469233;-8.25335693
13;13;8.17245197;-12.7984161
13;14;8.36168766;-18.0088501
13;15;8.30934143;-16.8334656
13;16;8.34291363;-18.0450287
13;17;8.24034023;-15.2393494
13;18;8.21495724;-14.6214447
13;19;8.09046841;-10.7813721
13;20;8.03371429;-8.92758179
13;21;7.87837124;-3.60824585
13;22;7.77915668;5.72814941E-02
13;23;7.62642336;5.84790039
13;24;7.52314043;10.1142883
13;25;7.38213062;16.0209045
13;26;7.28373528;20.5475769
13;27;7.15998983;26.2850342
13;28;7.07288122;30.7678833
13;29;6.90219212;38.9353333
13;30;6.74661064;46.7945251
13;31;6.56827259;55.9661560
13;32;6.40260029;64.9245300
13;33;6.22247171;74.8792114
13;34;6.05266857;84.7088623
13;35;5.87515402;95.2482910
13;36;5.70580435;105.742645
13;37;5.53426981;116.684937
13;38;5.36892557;127.654602
13;39;5.20595789;138.831390
13;40;5.04740238;150.100250
13;41;4.88732529;161.768402
13;42;4.73006487;173.601776
13;43;4.58313656;185.171082
13;44;4.43851042;196.903015
13;45;4.30674362;208.178360
13;46;4.17588377;219.663727
13;47;4.06000137;230.512161
13;48;3.94377518;241.613312
13;49;3.84428930;251.909042
13;50;3.74333477;262.496277
13;51;3.60924315;275.406189
13;52;3.46212769;289.430817
13;53;3.32441425;303.129181
13;54;3.17372966;317.971985
13;55;3.03436947;332.346161
13;56;2.88207960;347.891144
13;57;2.74275589;362.833130
13;58;2.59053063;378.969727
13;59;2.45267320;394.376343
13;60;2.30192685;410.999512
13;61;2.16675401;426.771790
13;62;2.01870513;443.780029
13;63;1.88724554;459.823669
13;64;1.74292207;477.120667
13;65;1.61604679;493.345398
13;66;1.47632229;510.838989
13;67;1.35477304;527.157959
13;68;1.22037792;544.760620
13;69;1.10477400;561.091064
13;70;0.976323962;578.719055
13;71;0.867917299;594.920288
13;72;0.747275829;612.378296
13;73;0.647819757;628.255554
13;74;0.536949098;645.324951
13;75;0.447493643;660.731384
13;76;0.346516728;677.342285
13;77;0.267133087;692.211609
13;78;0.176131070;708.297058
13;79;0.106835596;722.567505
13;80;2.58434042E-02;738.064331
14;4;1.28732181;111.160149
14;5;2.65237474;92.0082016
14;6;4.12520075;67.9706879
14;7;5.06081724;52.2689209
14;8;6.00334501;34.5438690
14;9;6.54660749;24.1168671
14;10;7.15810776;10.9656372
14;11;7.49795389;3.38275146
14;12;7.93352509;-7.36868286
14;13;8.15627289;-13.2450104
14;14;8.48786640;-22.6145172
14;15;8.46337032;-22.3206329
14;16;8.53258991;-24.7892151
14;17;8.45145798;-22.7353363
14;18;8.46273899;-23.4763947
14;19;8.35370350;-20.2695770
14;20;8.33309555;-19.8512573
14;21;8.18708134;-15.0024414
14;22;8.12304878;-12.8129883
14;23;7.97569323;-7.41247559
14;24;7.90554667;-4.65124512
14;25;7.76522303;0.987213135
14;26;7.69745493;4.00408936
14;27;7.56998730;9.60418701
14;28;7.51069260;12.5959473
14;29;7.33251810;20.8181458
14;30;7.20395374;27.2138367
14;31;7.01773834;36.4609680
14;32;6.87929106;43.8831787
14;33;6.69072056;53.9380798
14;34;6.54794884;62.1717834
14;35;6.36128473;72.8417664
14;36;6.21842909;81.6946411
