Z,N,BE/A_DZ10,MassExcess_DZ10,A,BE,S1n,S1p,S2p,S2n,MassExcess_AME,BE/A_AME,Atomic_Mass,diff
12,19,7.87761831,-3.38157654,31,244.20616761,2.81167640999999,18.993450510000002,36.4576615,9.361193079999993,-3.1221520000000003,7.8691886,30.996648232,0.008429709999999702
16,15,8.28547287,-19.1544952,31,256.84965897,12.911460870000013,5.571306270000008,11.411919690000019,32.52890246999999,-19.042531,8.2818013,30.979557002,0.0036715699999998463
11,20,7.3865695,12.6232758,31,228.9836545,3.770937400000008,18.1141609,42.05070255999999,6.059028760000018,12.246031,7.398677800000001,31.013146654,-0.012108300000000405
15,16,8.48441315,-24.5392914,31,263.01680765,11.738454949999976,7.039110349999959,21.07231237999997,23.439437089999984,-24.44054442,8.4811677,30.97376199768,0.00324544999999965
13,18,8.21495724,-14.6214447,31,254.66367444000002,7.453467540000048,13.269183240000018,31.73904870000004,12.719179170000018,-14.950709000000002,8.225518,30.983949754,-0.010560759999998837
14,18,8.46273899,-23.4763947,32,270.80764768,8.812450299999966,16.14397323999998,29.413156479999998,14.829950379999985,-24.077689,8.481468999999999,31.974151538,-0.018730009999998742
16,16,8.51217461,-26.6230316,32,272.38958752,15.539928550000013,9.372779870000045,16.411890220000004,28.451389420000027,-26.01553714,8.4931301,31.97207117354,0.019044510000000514
17,15,8.0497961,-12.6092682,32,257.5934752,14.138866320000005,0.7438162299999931,6.315122500000001,34.54407760000001,-13.334706,8.0724058,31.985684605,-0.022609700000000288
15,17,8.44496059,-23.6898346,32,270.23873888,7.221931230000052,8.243541499999992,23.028531980000054,18.96038618000003,-24.304876,8.464120300000001,31.973907643,-0.019159710000000274
18,14,7.67005348,-1.23985291,32,245.44171136,21.810291180000007,1.9871024800000043,1.5035132600000054,40.49483576,-2.2003519999999996,7.700008899999999,31.997637824,-0.0299554199999994
11,21,7.18588686,19.7299347,32,229.94837952,0.964725020000003,19.764751590000003,43.87733172,4.735662420000011,18.640151999999997,7.2198815000000005,32.020011024,-0.03399464000000041
13,19,8.09046841,-10.7813721,32,258.89498912,4.231314679999969,14.688821509999997,33.68227202,11.684782220000017,-11.099368,8.1003449,31.988084338,-0.009876489999999905
12,20,7.80186415,-0.763687134,32,249.6596528,5.453485190000009,20.675998300000003,38.790159200000005,8.265161599999999,-0.828901,7.8038411,31.999110138,-0.0019769499999995332
13,20,8.03371429,-8.92758179,33,265.11257157,6.217582450000009,15.452918769999997,36.12891707,10.448897129999978,-8.497382,8.0206172,32.990877685,0.013097090000000478
17,16,8.30492592,-21.0069733,33,274.06255536000003,16.469080160000033,1.6729678400000125,11.045747710000057,30.607946480000038,-21.00334,8.3047557,32.977451988,0.00017022000000110893
14,19,8.3537035,-20.269577,33,275.6722155,4.864567819999991,16.777226380000002,31.46604789,13.677018119999957,-20.514328000000003,8.3610596,32.977976964,-0.007356100000000865
12,21,7.60557318,5.98342896,33,250.98391494,1.3242621400000019,21.035535420000002,40.800287010000005,6.777747330000011,4.962872999999999,7.6364382,33.005327862,-0.030865019999999355
11,22,7.03160954,25.7065735,33,232.04311482,2.0947352999999964,20.23809177999999,46.29324018,3.0594603199999995,23.780113,7.0899262,33.025529,-0.05831666000000002
18,15,7.89810848,-8.36433411,33,260.63757984,15.195868480000001,3.0441046400000005,3.7879208699999936,37.00615966000001,-9.384295,7.9289559,32.989925545,-0.030847419999999737
15,18,8.48712349,-25.4547882,33,280.07507517,9.836336289999963,9.267427489999989,25.41140072999997,17.058267520000015,-26.337349999999997,8.5138073,32.971725692,-0.026683809999999752
16,17,8.50089931,-26.6917267,33,280.52967723,8.140089709999984,10.290938349999976,18.53447984999997,23.680018259999997,-26.585858299999998,8.4976304,32.97145890862,0.003268909999999181
16,18,8.57588863,-29.6708984,34,291.58021342,11.050536190000003,11.505138250000016,20.772565740000005,19.190625899999986,-29.931689,8.5834986,33.967867011,-0.007609970000000743
17,17,8.40609932,-24.6804199,34,285.80737688,11.74482151999996,5.277699649999988,15.568637999999964,28.213901679999992,-24.440086,8.3989706,33.97376249,0.007128719999998978
13,21,7.87837124,-3.60824585,34,267.86462216,2.7520505900000103,16.880707220000005,37.91624264000001,8.96963304000002,-2.9976190000000003,7.860350599999999,33.996781924,0.018020640000000476
14,20,8.33309555,-19.8512573,34,283.3252487,7.653033199999982,18.212677129999975,33.66559589999997,12.517601019999972,-19.991684,8.3371659,33.978538045,-0.0040703500000009996
18,16,8.18653107,-17.9974365,34,278.34205638,17.704476539999973,4.279501019999941,5.952468859999954,32.900345019999975,-18.378293000000003,8.1976724,33.980270092,-0.011141330000000949
12,22,7.49345112,10.2613831,34,254.77733808,3.7934231399999874,22.734223259999993,42.972315039999984,5.117685279999989,8.323324000000001,7.550391899999999,34.008935455,-0.05694077999999969
15,19,8.41750526,-23.50354,34,286.19517884000004,6.120103670000049,10.522963340000047,27.30018972000005,15.956439960000012,-24.548702000000002,8.4481856,33.973645886,-0.030680339999999973
11,23,6.84124517,33.2187347,34,232.60233577999998,0.5592209599999762,21.900082039999972,47.97150697999999,2.6539562599999726,31.680114,6.8864377,34.03401,-0.04519253000000045
16,19,8.52776051,-28.4909058,35,298.47161785000003,6.891404430000023,12.27643900999999,22.799402350000037,17.941940620000025,-28.84621,8.5378511,34.969032321,-0.010090589999999011
12,23,7.30223227,17.5319824,35,255.57812945,0.8007913700000131,22.97579367000003,44.87587571,4.5942145100000005,15.639786,7.3562338,35.01679,-0.05400152999999985
20,15,7.44971943,6.11114502,35,260.74018005,17.409992229999972,1.0911587699999927,0.10260020999999142,41.40869756999999,5.19,7.476,35.005572,-0.026280569999999948
13,22,7.77915668,0.0572814941,35,272.27048379999997,4.405861639999955,17.493145719999973,40.227368979999966,7.157912229999965,-0.22372999999999998,7.7871243,34.999759816,-0.007967620000000508
11,24,6.69233942,39.6605377,35,234.23187969999998,1.6295439200000033,22.209336599999972,50.19770442999999,2.1887648799999795,37.831,6.745,35.040614,-0.0526605800000004
17,18,8.51336956,-28.7695618,35,297.9679346,12.160557719999986,6.387721179999971,17.892859429999987,23.905379239999945,-29.013531999999998,8.520279,34.968852694,-0.006909440000001155
15,20,8.42036915,-23.9498596,35,294.71292025,8.517741409999985,11.38767155000005,29.600348680000025,14.637845080000034,-24.857809,8.4462496,34.973314045,-0.025880449999998945
18,17,8.32020187,-22.7910461,35,291.20706545,12.865009070000042,5.3996885700000234,10.677388220000012,30.569485610000015,-23.047289,8.3274621,34.975257719,-0.007260229999999979
14,21,8.18708134,-15.0024414,35,286.5478469,3.22259820000005,18.683224740000014,35.56393196000002,10.875631400000032,-14.39148,8.1695644,34.984550111,0.017516940000000147
16,20,8.56265736,-30.2036133,36,308.25566496,9.78404710999996,13.542744709999965,24.930416260000015,16.675451539999983,-30.664141,8.575389999999999,35.967080692,-0.012732639999999407
20,16,7.79312134,-5.62969971,36,280.55236824,19.81218819000003,2.3968531900000016,2.210311860000047,37.22218042,-6.451166,7.8158799,35.993074388,-0.02275855999999976
11,25,6.52279902,47.1430359,36,234.82076472,0.5888850200000206,23.84322241999999,51.672310900000014,2.218428940000024,45.903,6.557,36.049279,-0.03420098000000049
17,19,8.49917126,-28.7004395,36,305.97016536,8.002230760000032,7.49854750999998,19.77498651999997,20.162788480000017,-29.522008000000003,8.521932199999998,35.968306822,-0.02276093999999773
15,21,8.31252861,-20.416626,36,299.25102996,4.538109709999958,12.703183059999958,31.386407799999972,13.055851119999943,-20.251044999999998,8.307869199999999,35.97825961,0.0046594100000003635
12,24,7.19197321,22.2704163,36,258.91103555999996,3.3329061099999535,24.67915585999998,46.88849245999995,4.133697479999967,20.380159,7.2444201999999995,36.021879,-0.05244698999999997
13,23,7.62642336,5.84790039,36,274.55124096000003,2.2807571600000642,18.973111510000024,41.948905180000054,6.686618800000019,5.950384,7.6235154000000005,36.006388,0.0029079599999999317
18,18,8.52392578,-30.3739624,36,306.86132808,15.654262630000005,8.893393480000043,15.281114660000014,28.519271700000047,-30.231542,8.5199096,35.967545106,0.004016180000000702
14,22,8.12304878,-12.8129883,36,292.42975608,5.88190917999998,20.15927228000004,37.65241800000001,9.10450738000003,-12.436125,8.1125199,35.986649271,0.010528879999998964
19,17,8.1153059,-16.4459839,36,292.15101239999996,13.995497349999937,0.9439469499999404,6.343635519999964,32.50199111999996,-17.417182,8.1422233,35.981301887,-0.026917400000000313
11,26,6.3881793,53.6725464,37,236.3626341,1.5418693800000085,23.974338060000008,53.65761790000002,2.130754400000029,53.134,6.403,37.057042,-0.014820699999999576
18,19,8.53314018,-31.1674194,37,315.72618666,8.864858579999975,9.756021299999986,17.254568809999967,24.51912120999998,-30.947679,8.527140600000001,36.966776301,0.005999579999999227
14,23,7.97569323,-7.41247559,37,295.10064951,2.6708934299999783,20.549408549999953,39.52252005999998,8.552802609999958,-6.571511999999999,7.9529033,36.992945191,0.02278993000000007
19,18,8.34263134,-24.9009399,37,308.67735958000003,16.526347180000073,1.8160315000000082,10.709424980000051,30.52184453000001,-24.800201,8.339848,36.97337589,0.002783340000000578
13,24,7.52314043,10.1142883,37,278.35619591,3.804954949999967,19.445160350000037,44.12431621000002,6.085712110000031,9.809564,7.5313159999999995,37.010531,-0.008175569999999688
17,20,8.55959034,-31.3637085,37,316.70484258,10.73467721999998,8.44917762,21.991922329999966,18.736907980000012,-31.761552,8.5702816,36.965902573,-0.010691259999999758
16,21,8.47161579,-27.3262939,37,313.44978423,5.194119269999987,14.198754269999995,26.901937329999953,14.978166379999948,-26.896425999999998,8.459936299999999,36.9711255,0.01167949000000057
15,22,8.26581955,-18.9295044,37,305.83532335,6.584293390000028,13.405567270000006,33.564839550000045,11.122403099999985,-18.996012,8.2675561,36.979606942,-0.001736550000000392
20,17,7.98721647,-12.5329285,37,295.52700939,14.974641149999968,3.375996990000033,4.319943939999973,34.78682934,-13.13607,8.0034567,36.985897849,-0.0162402299999993
12,25,7.01608181,29.6578064,37,259.59502697,0.6839914100000328,24.774262249999992,48.61748466999998,4.016897519999986,28.211478,7.0551115,37.030286265,-0.03902968999999956
13,25,7.38213062,16.0209045,38,280.52096356,2.1647676499999875,20.925936589999992,45.700198839999985,5.969722599999955,16.47,7.37,38.017681,0.012130619999999759
16,22,8.45591164,-27.1298218,38,321.32464232,7.874858090000032,15.48931897,28.894886240000005,13.06897736000002,-26.861216,8.4487829,37.9711633,0.007128740000000633
18,20,8.62031746,-34.941925,38,327.57206348000005,11.845876820000058,10.867220900000063,19.316398520000064,20.710735400000033,-34.714827,8.6142807,37.962732102,0.0060367600000006405
17,21,8.50161839,-29.6490173,38,323.06149882000005,6.3566562400000635,9.611714590000076,23.81046886000007,17.091333460000044,-29.798116,8.5054817,37.968010408,-0.003863309999999842
12,26,6.91620684,34.5083618,38,262.81585992,3.2208329499999877,26.45322581999997,50.42756387999998,3.9048243600000205,34.074,6.928,38.03658,-0.011793159999999858
11,27,6.24486208,60.8018036,38,237.30475904,0.9421249399999851,25.549470000000014,54.87696943999998,2.4839943199999936,61.905,6.216,38.066458,0.02886207999999968
14,24,7.90554667,-4.65124512,38,300.41077346,5.310123949999991,22.054577549999976,41.499737900000014,7.981017379999969,-4.170299,7.8928297,37.995523,0.012716969999999606
19,19,8.44375324,-29.0148621,38,320.86262311999997,12.185263539999937,5.13643645999997,14.892457759999957,28.71161072000001,-28.800759999999997,8.4380593,37.969081114,0.005693939999998676
15,23,8.15250969,-14.8182068,38,309.79536822,3.96004486999999,14.694718710000018,35.24412725999997,10.544338260000018,-14.621565,8.147274900000001,37.984303105,0.0052347899999993786
20,18,8.24165535,-22.1174622,38,313.1829033,17.65589391000003,4.5055437199999915,6.32157522,32.63053506,-22.058503,8.240043400000001,37.976319223,0.0016119499999991405
19,20,8.55716896,-33.8103943,39,333.72958944,12.866966320000017,6.15752595999993,17.024746859999993,25.052229859999954,-33.80719535,8.5570258,38.96370648482,0.0001431600000003641
17,22,8.5059576,-30.2484436,39,331.73234640000004,8.670847579999986,10.40770408000003,25.89702305000003,15.02750382000005,-29.800218,8.4944032,38.968008151,0.011554399999999632
18,21,8.5812397,-33.9668274,39,334.6683483,7.096284819999937,11.606849479999937,21.218564070000014,18.942161639999995,-33.242195,8.5625988,38.964313037,0.018640899999999405
14,25,7.76522303,0.987213135,39,302.84369817,2.432924710000009,22.322734609999998,43.24867119999999,7.7430486599999995,2.3203519999999997,7.7309792999999996,39.002491,0.03424373000000003
16,23,8.35316849,-23.5073242,39,325.77357111,4.448928789999968,15.978202889999977,30.672921599999995,12.32378688,-23.162671999999997,8.3442698,38.97513385,0.008898690000000542
20,19,8.36918163,-27.2612305,39,326.39808357,13.215180269999962,5.535460450000016,10.671896909999987,30.871074179999994,-27.282707,8.3696711,38.970710811,-0.0004894699999997698
13,26,7.28373528,20.5475769,39,284.06567592,3.5447123600000054,21.24981600000001,47.70304181999998,5.709480009999993,21.49,7.26,39.02307,0.02373528000000036
12,27,6.76136875,41.7022095,39,263.69338125,0.877521330000036,26.388622210000023,51.938092210000036,4.098354280000024,42.775,6.734,39.045921,0.027368749999999942
11,28,6.13080359,67.0765991,39,239.10134001,1.796580970000008,25.486586190000025,56.570492090000016,2.738705909999993,69.977,6.056,39.075123,0.07480359000000014
