;N-Z;N;Z;A;Mass_excess;ME_unc;BE/A;BE/A_unc;Beta_decay_Energy;BDE_unc;Atomic_Mass;AM_unc;S2n;S2z
0;1.0;1.0;0.0;1.0;8071.31806;0.00044;0.0;0.0;782.347;0.0004;1.0086649159;0.00047;0.0;0.0
1;-1.0;0.0;1.0;1.0;7288.971064;1.3e-05;0.0;0.0;0.0;0.0;1.007825031898;1.4e-05;0.0;0.0
2;0.0;1.0;1.0;2.0;13135.722895;1.5e-05;1112.2831;0.0002;0.0;0.0;2.014101777844;1.5e-05;0.0;0.0
3;1.0;2.0;1.0;3.0;14949.8109;8e-05;2827.2654;0.0003;18.59202;6e-05;3.01604928132;8e-05;8481.7962;0.0
4;-1.0;1.0;2.0;3.0;14931.21888;6e-05;2572.68044;0.00015;-13736.0;2000.0;3.01602932197;6e-05;0.0;7718.04132
5;-3.0;0.0;3.0;3.0;28667.0;2000.0;-2267.0;667.0;0.0;0.0;3.030775;2147.0;0.0;-6801.0
6;2.0;3.0;1.0;4.0;24621.129;100.0;1720.4491;25.0;22196.2131;100.0;4.026431867;107.354;2432.6639999999998;0.0
7;0.0;2.0;2.0;4.0;2424.91587;0.00015;7073.9156;0.0002;-22898.274;212.132;4.00260325413;0.00016;0.0;0.0
8;-2.0;1.0;3.0;4.0;25323.19;212.132;1153.7603;53.033;0.0;0.0;4.027185561;227.733;0.0;165.90879999999925
9;3.0;4.0;1.0;5.0;32892.447;89.443;1336.3592;17.8885;21661.2131;91.6515;5.035311492;96.02;-7454.531000000001;0.0
10;1.0;3.0;2.0;5.0;11231.234;20.0;5512.1325;4.0;-447.6529;53.8516;5.012057224;21.47;14697.260299999998;0.0
11;-1.0;2.0;3.0;5.0;11678.887;50.0;5266.1325;10.0;-25460.0;2003.0;5.0125378;53.677;37665.6625;12194.335499999997
12;-3.0;1.0;4.0;5.0;37139.0;2003.0;18.0;401.0;0.0;0.0;5.03987;2150.0;0.0;-12773.4022
13;4.0;5.0;1.0;6.0;41875.725;254.127;961.6395;42.3545;24283.6294;254.1268;6.044955437;272.816;-4552.8576;0.0
14;2.0;4.0;2.0;6.0;17592.095;0.053;4878.5199;0.0089;3505.2147;0.0532;6.018885889;0.057;-13172.3742;0.0
15;0.0;3.0;3.0;6.0;14086.88044;0.00144;5332.3312;0.0003;-4288.1534;5.4478;6.01512288742;0.00155;25071.4254;21671.2926
16;-2.0;2.0;4.0;6.0;18375.034;5.448;4487.2478;0.908;-28945.0;2003.0;6.019726409;5.848;0.0;-15520.006800000001
17;-4.0;1.0;5.0;6.0;47320.0;2003.0;-467.0;334.0;0.0;0.0;6.0508;2150.0;0.0;-9724.5618
18;5.0;6.0;1.0;7.0;49135.0;1004.0;940.0;143.0;23062.0;1004.0;7.052749;1078.0;-2774.514400000001;0.0
19;3.0;5.0;2.0;7.0;26073.128;7.559;4123.0578;1.0799;11166.0229;7.5595;7.027990652;8.115;-9723.5229;0.0
20;1.0;4.0;3.0;7.0;14907.10463;0.00419;5606.4401;0.0006;-861.893;0.0707;7.01600343426;0.0045;2382.1532000000007;29890.5663
21;-1.0;3.0;4.0;7.0;15768.998;0.071;5371.5487;0.0101;-11907.5551;25.1504;7.016928714;0.076;37474.8409;-984.086599999996
22;-3.0;2.0;5.0;7.0;27676.553;25.15;3558.7055;3.5929;0.0;0.0;7.029712;27.0;0.0;-11951.988999999998
23;4.0;6.0;2.0;8.0;31609.683;0.089;3924.521;0.0111;10663.8784;0.1005;8.033934388;0.095;-7631.9912;0.0
24;2.0;5.0;3.0;8.0;20945.805;0.047;5159.7124;0.0059;16004.1329;0.0591;8.022486244;0.05;-1380.9503999999943;33584.5832
25;0.0;4.0;4.0;8.0;4941.672;0.035;7062.4356;0.0044;-17979.8973;1.0005;8.005305102;0.037;20601.502399999998;17471.325599999996
26;-2.0;3.0;5.0;8.0;22921.569;1.0;4717.1551;0.125;-12142.7002;18.2704;8.024607315;1.073;41473.2408;-4921.408799999997
27;-4.0;2.0;6.0;8.0;35064.269;18.243;3101.5242;2.2804;0.0;0.0;8.037643039;19.584;0.0;-11085.788800000002
28;5.0;7.0;2.0;9.0;40935.826;46.816;3349.038;5.2018;15980.9213;46.8169;9.043946414;50.259;-6966.178199999997;0.0
29;3.0;6.0;3.0;9.0;24954.905;0.186;5037.7685;0.0207;13606.4541;0.2014;9.026790191;0.2;-5118.044399999997;36879.9165
30;1.0;5.0;4.0;9.0;11348.451;0.076;6462.6693;0.0085;-1068.0349;0.8994;9.012183062;0.082;9820.085399999993;21056.5035
31;-1.0;4.0;5.0;9.0;12416.486;0.903;6257.0713;0.1003;-16494.4854;2.3195;9.013329645;0.969;24285.292199999996;5855.680799999998
32;-3.0;3.0;6.0;9.0;28910.971;2.137;4337.4233;0.2374;0.0;0.0;9.031037202;2.293;0.0;-9307.1286
33;6.0;8.0;2.0;10.0;49197.147;92.848;2995.134;9.2848;16144.5191;93.7152;10.052815306;99.676;-9293.870000000003;0.0
34;4.0;7.0;3.0;10.0;33052.628;12.721;4531.3512;1.2721;20445.1411;12.7216;10.035483453;13.656;-6283.612000000003;0.0
35;2.0;6.0;4.0;10.0;12607.487;0.081;6497.6306;0.0081;556.8759;0.0822;10.013534692;0.086;-5648.049999999994;25731.096
36;0.0;5.0;5.0;10.0;12050.611;0.015;6475.0835;0.0015;-3648.0623;0.0687;10.012936862;0.016;17579.284;13153.710999999994
37;-2.0;4.0;6.0;10.0;15698.673;0.07;6032.0426;0.007;-23101.3545;400.0;10.016853217;0.075;29305.184;-10303.93
38;-4.0;3.0;7.0;10.0;38800.027;400.0;3643.6724;40.0;0.0;0.0;10.04165354;429.417;0.0;-10734.827000000001
39;5.0;8.0;3.0;11.0;40728.259;0.615;4155.3817;0.0559;20551.0898;0.6591;11.043723581;0.66;-9706.254800000002;0.0
40;3.0;7.0;4.0;11.0;20177.169;0.238;5952.5402;0.0216;11509.4607;0.238;11.02166108;0.255;-5611.420099999991;28638.524200000003
41;1.0;6.0;5.0;11.0;8667.708;0.012;6927.7323;0.0011;-1981.6889;0.0608;11.009305166;0.013;7377.271000000001;20789.601799999997
42;-1.0;5.0;6.0;11.0;10649.397;0.06;6676.4563;0.0054;-13716.2469;5.0008;11.011432597;0.064;25729.362999999994;2351.657000000003
43;-3.0;4.0;7.0;11.0;24365.644;5.0;5358.4023;0.4546;-23373.2693;60.2459;11.026157593;5.368;0.0;-9885.358999999999
44;-5.0;3.0;8.0;11.0;47738.913;60.038;3162.4372;5.458;0.0;0.0;11.051249828;64.453;0.0;-12924.847100000006
45;6.0;9.0;3.0;12.0;49009.577;30.006;3791.5999;2.5005;23931.8152;30.0669;12.052613942;32.213;-8877.015599999999;0.0
46;4.0;8.0;4.0;12.0;25077.761;1.909;5720.7223;0.159;11708.3636;2.3214;12.026922082;2.048;-9322.8996;32707.059600000004
47;2.0;7.0;5.0;12.0;13369.398;1.321;6631.2237;0.1101;13369.3979;1.3214;12.014352638;1.418;1873.6823999999979;25198.469999999994
48;0.0;6.0;6.0;12.0;0.0;0.0;7680.1446;0.0002;-17338.0681;0.9999;12.0;0.0;19777.224;14190.16799999999
49;-2.0;5.0;7.0;12.0;17338.068;1.0;6170.11;0.0833;-14675.2668;12.0418;12.01861318;1.073;30317.2512;-3659.6820000000007
50;-4.0;4.0;8.0;12.0;32013.335;12.0;4881.9755;1.0;0.0;0.0;12.034367726;12.882;0.0;-13800.805200000003
51;7.0;10.0;3.0;13.0;56980.895;70.003;3507.6307;5.3848;23321.8152;70.7391;13.061171503;75.15;-8420.762999999997;0.0
52;5.0;9.0;4.0;13.0;33659.08;10.18;5241.4359;0.7831;17097.1315;10.2295;13.036134506;10.929;-9244.355899999999;0.0
53;3.0;8.0;5.0;13.0;16561.948;1.0;6496.4194;0.0769;13436.9387;1.0001;13.017779981;1.073;-5607.067699999999;30433.4901
54;1.0;7.0;6.0;13.0;3125.00933;0.00023;7469.8495;0.0002;-2220.4718;0.2695;13.00335483534;0.00025;10314.111600000006;19725.0209
55;-1.0;6.0;7.0;13.0;5345.481;0.27;7238.8634;0.0207;-17769.9506;9.5301;13.005738609;0.289;24445.994300000006;4044.7043000000067
56;-3.0;5.0;8.0;13.0;23115.432;9.526;5811.7636;0.7328;-18915.0;500.0;13.024815435;10.226;34441.243200000004;-11241.005099999995
57;-5.0;4.0;9.0;13.0;42030.0;500.0;4297.0;38.0;0.0;0.0;13.045121;537.0;0.0;-13798.229899999997
58;6.0;10.0;4.0;14.0;39954.502;132.245;4993.8973;9.4461;16290.8166;133.9357;14.04289292;141.97;-10175.55000000001;0.0
59;4.0;9.0;5.0;14.0;23663.686;21.213;6101.6451;1.5152;20643.7926;21.2133;14.02540401;22.773;-7414.1003999999975;32340.632799999992
60;2.0;8.0;6.0;14.0;3019.89328;0.00375;7520.3198;0.0004;156.4765;0.0037;14.00324198862;0.00403;-2237.547199999992;25194.364999999998
61;0.0;7.0;7.0;14.0;2863.41683;0.00022;7475.6148;0.0002;-5144.3643;0.0252;14.00307400425;0.00024;18277.06720000001;11821.47540000001
62;-2.0;6.0;8.0;14.0;8007.781;0.025;7052.2783;0.0018;-23956.6215;41.1187;14.008596706;0.027;30384.239200000004;-8790.128199999996
63;-4.0;5.0;9.0;14.0;31964.403;41.119;5285.2091;2.9371;0.0;0.0;14.034315196;44.142;0.0;-12388.612599999995
64;7.0;11.0;4.0;15.0;49825.821;165.797;4540.9708;11.0532;20868.4411;167.1256;15.053490215;177.99;-10506.976500000004;0.0
65;5.0;10.0;5.0;15.0;28957.379;21.029;5880.0438;1.4019;19084.2343;21.0442;15.031087023;22.575;-9245.633999999991;35586.196500000005
66;3.0;9.0;6.0;15.0;9873.145;0.8;7100.1696;0.0533;9771.7071;0.8;15.010599256;0.858;-5545.198500000001;27881.005499999996
67;1.0;8.0;7.0;15.0;101.43809;0.00058;7699.4603;0.0002;-2754.1841;0.4902;15.00010889827;0.00062;6908.953499999993;18045.6135
68;-1.0;7.0;8.0;15.0;2855.622;0.49;7463.6915;0.0327;-13711.13;14.0086;15.003065636;0.526;24778.918499999996;-92.37000000000535
69;-3.0;6.0;9.0;15.0;16566.752;14.0;6497.4597;0.9333;-23648.6215;68.1377;15.017785139;15.029;33006.895500000006;-11121.055499999999
70;8.0;12.0;4.0;16.0;57447.139;165.797;4285.2851;10.3623;20335.4399;167.6075;16.061672036;177.99;-11337.795199999993;0.0
71;6.0;11.0;5.0;16.0;37111.699;24.566;5507.3535;1.5354;23417.5656;24.8254;16.039841045;26.373;-9508.665599999993;0.0
72;4.0;10.0;6.0;16.0;13694.133;3.578;6922.0546;0.2236;8010.226;4.254;16.014701255;3.84;-9572.243199999997;30850.516800000012
73;2.0;9.0;7.0;16.0;5683.907;2.301;7373.7971;0.1438;10420.9094;2.3014;16.006101925;2.47;-1629.0832000000082;20354.432
74;0.0;8.0;8.0;16.0;-4737.00217;0.0003;7976.2072;0.0002;-15412.184;5.3642;15.99491461926;0.00032;14782.862399999998;7294.198399999994
75;-2.0;7.0;9.0;16.0;10675.182;5.364;6964.049;0.3353;-13311.5932;21.1709;16.011460278;5.758;26861.4384;-8185.052800000005
76;7.0;12.0;5.0;17.0;43716.322;204.104;5269.6677;12.0061;22684.4422;204.841;17.046931399;219.114;-10376.393700000008;0.0
77;5.0;11.0;6.0;17.0;21031.88;17.365;6558.0262;1.0215;13161.8007;22.9464;17.02257865;18.641;-9216.4378;34289.9418
78;3.0;10.0;7.0;17.0;7870.079;15.0;7286.2294;0.8824;8678.843;15.0;17.008448876;16.103;-7024.925299999993;23905.155199999997
79;1.0;9.0;8.0;17.0;-808.76421;0.00064;7750.7291;0.0002;-2760.4655;0.2479;16.99913175595;0.00069;4879.639199999994;11059.51149999999
80;-1.0;8.0;9.0;17.0;1951.701;0.248;7542.3284;0.0146;-14548.7507;0.4323;17.002095237;0.266;17762.7679;-2671.24229999999
81;-5.0;6.0;11.0;17.0;34719.58;59.616;5522.7653;3.5068;0.0;0.0;17.037273;64.0;0.0;-16569.804800000005
82;8.0;13.0;5.0;18.0;51792.64;204.165;4976.6306;11.3425;26873.3742;206.3572;18.055601683;219.18;-9553.012199999996;0.0
83;6.0;12.0;6.0;18.0;24919.266;30.0;6426.1321;1.6667;11806.0982;35.2821;18.02675193;32.206;-8926.60500000001;38535.246
84;4.0;11.0;7.0;18.0;13113.167;18.57;7038.5627;1.0316;13895.9838;18.5695;18.014077563;19.935;-6034.219199999989;27561.765600000006
85;2.0;10.0;8.0;18.0;-782.81634;0.00064;7767.0981;0.0002;-1655.9288;0.4633;17.99915961214;0.00069;-3763.963799999994;15210.782999999996
86;0.0;9.0;9.0;18.0;873.112;0.463;7631.6383;0.0257;-4444.5049;0.5888;18.000937324;0.497;12016.607399999994;4641.141599999997
87;-4.0;7.0;11.0;18.0;25037.992;93.881;6202.2176;5.2156;0.0;0.0;18.026879388;100.785;0.0;-13712.9652
88;9.0;14.0;5.0;19.0;59770.251;525.363;4719.6346;27.6507;27356.4961;534.4964;19.064166;564.0;-10450.628899999992;0.0
89;7.0;13.0;6.0;19.0;32413.754;98.389;6118.274;5.1784;16557.4995;99.7475;19.034797594;105.625;-8355.291799999999;0.0
90;5.0;12.0;7.0;19.0;15856.255;16.404;6948.5452;0.8634;12523.3972;16.6143;19.017022389;17.61;-6415.999800000011;31898.672499999993
91;3.0;11.0;8.0;19.0;3332.858;2.637;7566.4952;0.1388;4820.3029;2.637;19.003577969;2.83;-3500.444099999986;19160.911
92;1.0;10.0;9.0;19.0;-1487.44512;0.00082;7779.0192;0.0002;-3239.4986;0.1601;18.99840316207;0.00088;4497.125199999989;9363.006199999993
93;-3.0;8.0;11.0;19.0;12929.384;10.535;6937.8864;0.5545;-18909.0095;60.9189;19.013880264;11.309;26887.300900000006;-11484.398000000001
94;-5.0;7.0;12.0;19.0;31838.394;60.001;5901.4992;3.1579;0.0;0.0;19.03417992;64.413;0.0;-14040.998099999997
95;10.0;15.0;5.0;20.0;69401.569;546.357;4405.6529;27.3178;31898.0019;593.0377;20.074505644;586.538;-11419.554000000007;0.0
96;8.0;14.0;6.0;20.0;37503.567;230.625;5961.4356;11.5312;15737.0689;243.7459;20.040261732;247.585;-9293.93;0.0
97;6.0;13.0;7.0;20.0;21766.498;78.894;6709.1717;3.9447;17970.3261;78.8991;20.023367295;84.696;-6587.820000000011;34650.821999999986
98;4.0;12.0;8.0;20.0;3796.172;0.885;7568.5707;0.0442;3813.6349;0.8854;20.004075357;0.95;-3970.547999999999;22848.772000000008
99;2.0;11.0;9.0;20.0;-17.463;0.03;7720.1351;0.0015;7024.4689;0.0297;19.999981252;0.031;1769.936000000016;13631.448
100;-2.0;9.0;11.0;20.0;6850.489;1.109;7298.5028;0.0554;-10627.2054;2.1681;20.007354301;1.19;21925.704000000005;-6662.709999999988
101;-4.0;8.0;12.0;20.0;17477.694;1.863;6728.0252;0.0931;0.0;0.0;20.018763075;2.0;0.0;-12264.650000000001
102;11.0;16.0;5.0;21.0;78382.887;558.664;4152.5265;26.6031;32740.0;817.0;21.084147485;599.75;-11909.270100000009;0.0
103;9.0;15.0;6.0;21.0;45643.0;596.0;5674.0;28.0;20411.0;611.0;21.049;640.0;-9329.754000000008;0.0
104;7.0;14.0;7.0;21.0;25231.915;134.048;6609.0159;6.3832;17169.8816;134.584;21.027087573;143.906;-7130.115299999984;39677.0073
105;5.0;13.0;8.0;21.0;8062.034;12.0;7389.3747;0.5714;8109.639;12.1342;21.008654948;12.882;-3719.5305;26693.1147
106;3.0;12.0;9.0;21.0;-47.605;1.8;7738.2934;0.0857;5684.1712;1.8004;20.999948893;1.932;-855.2418000000034;16584.7122
107;-1.0;10.0;11.0;21.0;-2184.857;0.042;7765.5581;0.002;-13088.708;0.7557;20.997654459;0.045;17381.105699999996;-282.6830999999902
108;-3.0;9.0;12.0;21.0;10903.851;0.755;7105.0317;0.0359;-16186.0;600.0;21.011705764;0.81;25274.182499999988;-9708.53940000001
109;-5.0;8.0;13.0;21.0;27090.0;600.0;6297.0;29.0;0.0;0.0;21.029082;644.0;0.0;-13458.614400000006
110;10.0;16.0;6.0;22.0;53611.203;231.49;5421.0778;10.5223;21846.3983;311.0627;22.05755399;248.515;-11887.871599999995;0.0
111;8.0;15.0;7.0;22.0;31764.805;207.779;6378.5347;9.4445;22481.7725;215.435;22.034100918;223.06;-7274.013999999994;43403.399600000004
112;6.0;14.0;8.0;22.0;9283.032;56.921;7364.8722;2.5873;6489.6562;58.2558;22.009965744;61.107;-4481.367000000009;30875.605199999998
113;4.0;13.0;9.0;22.0;2793.376;12.399;7624.2954;0.5636;10818.0916;12.399;22.002998812;13.31;-2108.47340000001;20132.721400000002
114;0.0;11.0;11.0;22.0;-5181.391;0.132;7915.6624;0.006;-4781.4051;0.1631;21.994437547;0.141;13577.511199999999;4301.600599999994
115;-2.0;10.0;12.0;22.0;-399.986;0.159;7662.7645;0.0072;-18601.0;401.0;21.999570597;0.17;20564.264600000002;-8128.487400000004
116;-4.0;9.0;13.0;22.0;18201.0;401.0;6782.0;18.0;-15439.0;641.0;22.01954;430.0;0.0;-11363.061600000005
117;-6.0;8.0;14.0;22.0;33640.0;500.0;6044.0;23.0;0.0;0.0;22.036114;537.0;0.0;-15048.5544
118;11.0;17.0;6.0;23.0;64171.0;997.0;5077.0;43.0;27450.0;1082.0;23.06889;1070.0;-13731.0;0.0
119;9.0;16.0;7.0;23.0;36720.429;420.57;6236.6721;18.2856;22099.0584;437.8271;23.039421;451.5;-8563.907400000013;47935.34879999999
120;7.0;15.0;8.0;23.0;14621.371;121.712;7163.4856;5.2918;11336.1072;126.1904;23.015696686;130.663;-5195.4493000000075;34258.1688
121;5.0;14.0;9.0;23.0;3285.263;33.32;7622.3447;1.4487;8439.3084;33.3206;23.003526875;35.77;-2666.820099999998;23306.562399999984
122;1.0;12.0;11.0;23.0;-9529.85352;0.00181;8111.4936;0.0002;-4056.179;0.0317;22.98976928195;0.00194;7956.516499999991;8583.604600000006
123;-1.0;11.0;12.0;23.0;-5473.675;0.032;7901.1229;0.0014;-12221.7457;0.3461;22.994123768;0.034;18310.097600000016;-1623.586099999994
124;-3.0;10.0;13.0;23.0;6748.071;0.345;7335.7275;0.015;-17202.0;500.0;23.007244351;0.37;23890.7325;-9886.103800000004
125;-5.0;9.0;14.0;23.0;23950.0;500.0;6554.0;22.0;0.0;0.0;23.025711;537.0;0.0;-12673.72909999999
126;10.0;17.0;7.0;24.0;46938.0;401.0;5887.0;17.0;28438.0;433.0;24.05039;430.0;-11796.832800000004;0.0
127;8.0;16.0;8.0;24.0;18500.404;164.874;7039.6855;6.8698;10955.8885;191.6327;24.019861;177.0;-7804.480800000005;38846.58479999999
128;6.0;15.0;9.0;24.0;7544.516;97.67;7463.5831;4.0696;13496.1583;97.6717;24.00809937;104.853;-3857.0952000000034;26041.161599999992
129;2.0;13.0;11.0;24.0;-8417.901;0.017;8063.4882;0.0007;5515.6774;0.021;23.990963012;0.017;3547.819199999991;10540.627199999995
130;0.0;12.0;12.0;24.0;-13933.578;0.013;8260.7103;0.0006;-13884.766;0.2282;23.985041689;0.013;14350.69920000001;4325.872800000005
131;-2.0;11.0;13.0;24.0;-48.812;0.228;7649.5806;0.0095;-10793.9978;19.4734;23.999947598;0.244;20821.934400000006;-6385.963199999998
132;-4.0;10.0;14.0;24.0;10745.186;19.472;7167.2329;0.8113;-23275.0;501.0;24.01153543;20.904;26957.5896;-11892.758400000006
133;-6.0;9.0;15.0;24.0;34020.0;500.0;6165.0;21.0;0.0;0.0;24.036522;537.0;0.0;-14808.0
134;11.0;18.0;7.0;25.0;55983.0;503.0;5613.0;20.0;28654.0;529.0;25.0601;540.0;-15591.802499999994;0.0
135;9.0;17.0;8.0;25.0;27329.03;165.084;6727.8058;6.6034;15994.8633;191.1909;25.029338919;177.225;-10891.994999999997;41270.145000000004
136;7.0;16.0;9.0;25.0;11334.167;96.442;7336.3065;3.8577;13369.6698;100.7212;25.012167727;103.535;-7150.954999999999;27490.859999999997
137;3.0;14.0;11.0;25.0;-9357.814;1.2;8101.3979;0.048;3834.9684;1.2009;24.989953974;1.288;-252.3924999999963;11976.330000000007
138;1.0;13.0;12.0;25.0;-13192.782;0.047;8223.5028;0.0019;-4276.808;0.0447;24.985836966;0.05;8059.497499999998;6706.167500000015
139;-1.0;12.0;13.0;25.0;-8915.974;0.065;8021.1366;0.0026;-12743.2956;10.0002;24.990428308;0.069;17135.227499999997;-2258.9249999999993
140;-3.0;11.0;14.0;25.0;3827.322;10.0;7480.1109;0.4;-16363.0;400.0;25.004108798;10.735;23152.772499999992;-10525.300000000016
141;-5.0;10.0;15.0;25.0;20190.0;400.0;6794.0;16.0;0.0;0.0;25.021675;429.0;0.0;-13543.1875
142;10.0;18.0;8.0;26.0;34661.041;164.95;6497.479;6.3442;15986.3855;196.6301;26.037210155;177.081;-14097.368999999982;0.0
143;8.0;17.0;9.0;26.0;18674.655;107.027;7082.2497;4.1164;18193.5414;108.6022;26.020048065;114.898;-9914.668399999988;31076.492200000008
144;4.0;15.0;11.0;26.0;-6860.78;3.502;8004.2013;0.1347;9353.7631;3.5018;25.992634649;3.759;-1541.4594000000016;14056.073199999997
145;2.0;14.0;12.0;26.0;-16214.544;0.029;8333.8711;0.0011;-4004.4042;0.0629;25.982592972;0.031;1902.180799999991;8854.193400000002
146;0.0;13.0;13.0;26.0;-12210.139;0.066;8149.7653;0.0026;-5069.1361;0.0849;25.986891876;0.071;13004.802199999995;2243.2046000000064
147;-2.0;12.0;14.0;26.0;-7141.003;0.108;7924.7083;0.0041;-18114.0;196.0;25.992333818;0.115;19694.360400000005;-8736.05200000001
148;-4.0;11.0;15.0;26.0;10973.0;196.0;7198.0;8.0;-16707.0;631.0;26.01178;210.0;26858.0;-11741.095600000006
149;-6.0;10.0;16.0;26.0;27680.0;600.0;6525.0;23.0;0.0;0.0;26.029716;644.0;0.0;-16698.055399999997
150;11.0;19.0;8.0;27.0;44670.0;500.0;6185.0;19.0;19536.0;514.0;27.047955;537.0;-14655.756600000002;0.0
151;9.0;18.0;9.0;27.0;25133.478;120.198;6879.6662;4.4518;18082.568;150.6211;27.026981897;129.037;-12329.288100000002;34199.98739999999
152;5.0;16.0;11.0;27.0;-5517.791;3.726;7956.9467;0.138;9068.8037;3.7266;26.994076408;4.0;-3900.182399999987;16757.28540000002
153;3.0;15.0;12.0;27.0;-14586.594;0.047;8263.8525;0.0018;2610.2694;0.0669;26.984340647;0.05;1089.441900000018;11449.433700000027
154;1.0;14.0;13.0;27.0;-17196.864;0.047;8331.5533;0.0018;-4812.3583;0.0964;26.981538408;0.05;8381.250899999994;6214.19579999999
155;-1.0;13.0;14.0;27.0;-12384.505;0.107;8124.342;0.004;-11725.473;9.0013;26.986704687;0.115;17394.2397;-2677.341600000015
156;-3.0;12.0;15.0;27.0;-659.032;9.001;7661.0894;0.3334;-18150.0;400.0;26.999292499;9.662;23411.413799999995;-9721.274399999998
157;-5.0;11.0;16.0;27.0;17491.0;400.0;6960.0;15.0;0.0;0.0;27.018777;430.0;0.0;-14042.994299999991
158;12.0;20.0;8.0;28.0;52080.0;699.0;5988.0;25.0;18676.0;709.0;28.05591;750.0;-14265.412000000008;0.0
159;10.0;19.0;9.0;28.0;33403.796;120.347;6626.8567;4.2981;22104.0579;174.2886;28.035860448;129.198;-12751.004;0.0
160;6.0;17.0;11.0;28.0;-988.315;10.246;7799.2644;0.3659;14031.6303;10.2498;27.998939;11.0;-5738.2331999999915;20076.411599999992
161;4.0;16.0;12.0;28.0;-15019.946;0.261;8272.4531;0.0093;1830.774;0.2653;27.983875426;0.28;-1719.7039999999906;14575.178800000016
162;2.0;15.0;13.0;28.0;-16850.719;0.049;8309.8969;0.0018;4642.0776;0.0486;27.981910009;0.052;4483.684799999992;8559.4768
163;0.0;14.0;14.0;28.0;-21492.79711;0.00051;8447.7445;0.0002;-14344.9407;1.1473;27.97692653442;0.00055;14645.013600000013;3188.4552000000112
164;-2.0;13.0;15.0;28.0;-7147.856;1.147;7907.4842;0.041;-11221.0593;160.0041;27.99232646;1.231;19865.557599999996;-6783.870800000004
165;-4.0;12.0;16.0;28.0;4073.203;160.0;7478.7911;5.7143;-24197.0;525.0;28.004372762;171.767;26706.15080000001;-12485.681599999996
166;-6.0;11.0;17.0;28.0;28270.0;500.0;6587.0;18.0;0.0;0.0;28.030349;537.0;0.0;-17108.0
167;11.0;20.0;9.0;29.0;40150.19;525.363;6444.0314;18.116;21750.3873;546.2212;29.043103;564.0;-12633.409199999995;0.0
168;7.0;18.0;11.0;29.0;2679.994;7.337;7682.1522;0.253;13292.3538;7.3447;29.002877091;7.876;-7969.040499999999;23272.094000000023
169;5.0;17.0;12.0;29.0;-10612.36;0.345;8113.5317;0.0119;7595.4023;0.4873;28.988607163;0.369;-4359.3032000000385;17200.381399999984
170;3.0;16.0;13.0;29.0;-18207.762;0.345;8348.4647;0.0119;3687.3192;0.3447;28.980453164;0.37;490.43060000002515;11354.022
171;1.0;15.0;14.0;29.0;-21895.08154;0.00056;8448.6361;0.0002;-4942.2325;0.3589;28.97649466434;0.0006;9404.528900000001;5358.724399999966
172;-1.0;14.0;15.0;29.0;-16952.849;0.359;8251.2368;0.0124;-13858.4257;13.0459;28.981800368;0.385;17114.274600000022;-2329.178499999971
173;-3.0;13.0;16.0;29.0;-3094.423;13.041;7746.3826;0.4497;-17117.0;189.0;28.996678;14.0;22805.0954;-10960.822599999992
174;-5.0;12.0;17.0;29.0;14022.0;189.0;7129.0;7.0;-23947.0;478.0;29.015053;203.0;0.0;-15430.592599999996
175;-7.0;11.0;18.0;29.0;37969.0;439.0;6276.0;15.0;0.0;0.0;29.040761;471.0;0.0;-19836.0
176;12.0;21.0;9.0;30.0;48960.0;500.0;6205.0;17.0;25680.0;561.0;30.052561;537.0;-12655.701000000008;0.0
177;8.0;19.0;11.0;30.0;8474.67;4.727;7501.9685;0.1576;17356.0423;4.9011;30.009097931;5.074;-8918.877000000002;26253.353999999992
178;6.0;18.0;12.0;30.0;-8881.373;1.295;8054.425;0.0432;6982.744;2.3287;29.990465454;1.39;-6540.8430000000135;19982.361
179;4.0;17.0;13.0;30.0;-15864.116;1.936;8261.1049;0.0645;8568.8459;1.9357;29.982969171;2.077;-1463.7599999999838;13855.215000000007
180;2.0;16.0;14.0;30.0;-24432.962;0.022;8520.6549;0.0008;-4232.1065;0.0615;29.973770137;0.023;2187.3119999999653;7446.053999999967
181;0.0;15.0;15.0;30.0;-20200.856;0.065;8353.5064;0.0022;-6141.6014;0.1956;29.97831349;0.069;13380.66600000001;1308.2850000000144
182;-2.0;14.0;16.0;30.0;-14059.254;0.206;8122.7081;0.0069;-18733.802;23.8769;29.98490677;0.221;19317.509999999984;-9751.092000000026
183;-4.0;13.0;17.0;30.0;4674.548;23.876;7472.1698;0.7959;-17397.0;180.0;30.005018333;25.631;26555.09399999999;-13059.432000000006
184;-6.0;12.0;18.0;30.0;22071.0;179.0;6866.0;6.0;0.0;0.0;30.023694;192.0;0.0;-18383.73300000001
185;13.0;22.0;9.0;31.0;56843.0;535.0;6011.0;17.0;25661.0;597.0;31.061023;574.0;-13423.973399999995;0.0
186;9.0;20.0;11.0;31.0;12246.031;13.972;7398.6778;0.4507;15368.1833;14.3065;31.013146654;15.0;-8787.706400000003;29594.038400000016
187;7.0;19.0;12.0;31.0;-3122.152;3.074;7869.1886;0.0992;11828.5569;3.8009;30.996648232;3.3;-7574.636099999973;21765.760300000024
188;5.0;18.0;13.0;31.0;-14950.709;2.236;8225.518;0.0721;7998.3286;2.236;30.983949754;2.4;-3811.347700000013;16844.339799999987
