;N-Z;N;Z;A;Mass_excess;ME_unc;BE/A;BE/A_unc;Beta_decay_Energy;BDE_unc;Atomic_Mass;AM_unc;S2n;S2z
1215;13.0;61.0;48.0;109.0;-88504.33;1.536;8538.7646;0.0141;-2014.8047;4.0662;108.904986697;1.649;589.9298000000726;-2412.1699999999128
1216;11.0;60.0;49.0;109.0;-86489.526;3.969;8513.1027;0.0364;-3859.3453;8.8866;108.907149679;4.261;2077.409199999878;-4447.036500000086
1217;9.0;59.0;50.0;109.0;-82630.18;7.949;8470.5183;0.0729;-6379.194;8.8074;108.911292857;8.533;3381.583299999971;-6848.916900000004
1218;7.0;58.0;51.0;109.0;-76250.986;5.265;8404.8161;0.0483;-8535.5871;6.8502;108.918141203;5.652;5022.9053000000695;-9725.830200000062
1219;5.0;57.0;52.0;109.0;-67715.399;4.382;8319.3305;0.0402;-10042.8941;8.0301;108.927304532;4.704;6685.024500000003;-13097.886899999996
1220;3.0;56.0;53.0;109.0;-57672.505;6.729;8220.0164;0.0617;-11502.9589;300.1831;108.938086022;7.223;8067.787600000047;-15120.261999999884
1221;30.0;70.0;40.0;110.0;-42220.0;500.0;8171.0;5.0;10090.0;976.0;109.954675;537.0;-9020.0;0.0
1222;28.0;69.0;41.0;110.0;-52309.914;838.345;8255.2607;7.6213;12225.9002;838.6945;109.943843;900.0;-7743.966999999993;13888.67700000008
1223;26.0;68.0;42.0;110.0;-64535.814;24.219;8359.293;0.2202;6498.7491;26.0147;109.930717956;26.0;-6915.161000000098;11692.229999999963
1224;24.0;67.0;43.0;110.0;-71034.564;9.497;8411.2603;0.0863;9038.0654;12.5086;109.923741263;10.195;-5671.2589999999545;9415.988999999918
1225;22.0;66.0;44.0;110.0;-80072.629;8.924;8486.3123;0.0811;2756.0638;19.4044;109.914038501;9.58;-4500.5839999999625;7056.961999999894
1226;20.0;65.0;45.0;110.0;-82828.693;17.805;8504.2551;0.1619;5502.2116;17.7967;109.911079745;19.114;-3125.1659999999174;4558.169000000089
1227;18.0;64.0;46.0;110.0;-88330.904;0.612;8547.163;0.0056;-873.5982;1.3777;109.905172878;0.657;-2184.7210000000086;2192.993000000133
1228;16.0;63.0;47.0;110.0;-87457.306;1.286;8532.1089;0.0117;2890.6633;1.2771;109.906110724;1.38;-1090.9030000001076;-61.248000000032334
1229;14.0;62.0;48.0;110.0;-90347.969;0.38;8551.2755;0.0035;-3878.0;11.547;109.90300747;0.407;138.14900000001217;-1732.3460000000887
1230;12.0;61.0;49.0;110.0;-86469.969;11.553;8508.9087;0.105;-627.9769;17.9802;109.907170674;12.402;1502.281000000039;-3642.925000000032
1231;10.0;60.0;50.0;110.0;-85841.993;13.777;8496.0875;0.1252;-8392.248;15.0117;109.907844835;14.79;2976.6219999999885;-5932.530999999999
1232;8.0;59.0;51.0;110.0;-77449.745;5.962;8412.6821;0.0542;-5219.924;8.8753;109.916854283;6.4;4401.704999999947;-9082.644999999957
1233;6.0;58.0;52.0;110.0;-72229.821;6.575;8358.116;0.0598;-11761.9766;62.2875;109.922458102;7.058;5983.328999999903;-12200.242999999973
1234;4.0;57.0;53.0;110.0;-60467.844;61.94;8244.0767;0.5631;-8545.2075;118.47;109.935085102;66.494;7488.436999999958;-14144.889000000094
1235;31.0;71.0;40.0;111.0;-36480.0;600.0;8118.0;5.0;12480.0;671.0;110.960837;644.0;-9546.0;0.0
1236;29.0;70.0;41.0;111.0;-48960.0;300.0;8223.0;3.0;10980.0;300.0;110.947439;322.0;-8228.507699999967;14874.0
1237;27.0;69.0;42.0;111.0;-59939.813;12.578;8315.2932;0.1133;9084.862;6.7999;110.935651966;13.503;-7339.664100000078;12353.545200000008
1238;25.0;68.0;43.0;111.0;-69024.675;10.582;8390.0906;0.0953;7760.65;13.8477;110.925898966;11.359;-6003.8789999999935;10318.548899999982
1239;23.0;67.0;44.0;111.0;-76785.325;9.682;8452.9582;0.0872;5518.5456;11.8621;110.917567566;10.394;-4802.947800000004;7941.150899999817
1240;21.0;66.0;45.0;111.0;-82303.871;6.853;8495.6267;0.0617;3682.0153;6.8899;110.911643164;7.356;-3609.0206999999464;5710.628100000136
1241;19.0;65.0;46.0;111.0;-85985.886;0.731;8521.7498;0.0066;2229.5607;1.5721;110.907690358;0.785;-2567.7297000000126;2832.919800000049
1242;17.0;64.0;47.0;111.0;-88215.447;1.459;8534.7878;0.0131;1036.8;1.4142;110.905296827;1.565;-1457.1746999998995;737.8613999999816
1243;15.0;63.0;48.0;111.0;-89252.247;0.357;8537.0801;0.0032;-860.1972;3.417;110.904183776;0.383;-186.97950000013407;-866.0664000000543
1244;13.0;62.0;49.0;111.0;-88392.05;3.424;8522.2824;0.0308;-2453.4692;6.3368;110.905107236;3.675;1018.9467000000659;-2845.2740999999005
1245;11.0;61.0;50.0;111.0;-85938.581;5.336;8493.131;0.0481;-5101.834;10.3337;110.907741143;5.728;2510.009699999964;-5065.329600000114
1246;9.0;60.0;51.0;111.0;-80836.747;8.849;8440.1203;0.0797;-7249.2597;10.937;110.913218187;9.5;3918.7662000000546;-8101.046399999885
1247;7.0;59.0;52.0;111.0;-73587.487;6.427;8367.7635;0.0579;-8633.6922;7.9943;110.921000587;6.9;5376.062999999898;-11405.782800000068
1248;5.0;58.0;53.0;111.0;-64953.795;4.754;8282.9343;0.0428;-10434.0;116.0;110.930269236;5.103;6983.886900000041;-13528.879799999911
1249;1.0;56.0;55.0;111.0;-42900.0;200.0;8070.0;2.0;0.0;0.0;110.953945;215.0;0.0;-16651.820400000048
1250;32.0;72.0;40.0;112.0;-32420.0;700.0;8081.0;6.0;11650.0;761.0;111.965196;751.0;-10080.0;0.0
1251;30.0;71.0;41.0;112.0;-44070.0;300.0;8178.0;3.0;13410.0;361.0;111.952689;322.0;-8653.198400000081;0.0
1252;28.0;70.0;42.0;112.0;-57480.0;200.0;8291.0;2.0;7779.0;200.0;111.938293;215.0;-7648.8159999999625;13440.0
