;Z;N;dz_BE/A;dz_ME;A;dz_BE;dz_S1n;dz_S1p;dz_S2p;dz_S2n;ame_ME;ame_BE/A;ame_AM;ame_BE;ame_S1p;ame_S1n;ame_S2p;ame_S2n;BE_diff_dz_ame;Surf;Asym;Coul;Pair;Z_parity;N_parity;Z_distance;N_distance;Difference_BE_DZ_AME;N-Z;ame_AM_unc;ame_BDE;ame_BDE_unc;ame_BE/A_unc;ame_ME_unc;ldm_BE;rescaled_Asym;rescaled_Coul;rescaled_N;rescaled_N_distance;rescaled_N_parity;rescaled_Pair;rescaled_Surf;rescaled_Z;rescaled_Z_distance;rescaled_Z_parity;rescaled_ame_BE;rescaled_ame_S1n;rescaled_ame_S1p;rescaled_ame_S2n;rescaled_ame_S2p
43;7.0;16.0;6.12449503;39.3018951;23.0;140.86338569;1.045024369999993;22.345575730000007;52.73512694;1.8235012099999888;36.720429;6.2366721;23.039421;143.4434583;24.179746700000003;3.115694900000002;56.2404018;4.654124400000001;;8.087579399090064;3.5217391304347827;14.768623250512292;0.2085144140570747;-1.0;1.0;1.0;4.0;2.580072610000002;9.0;451.5;22099.0584;437.8271;18.2856;420.57;124.6235808958972;0.22965664539175404;0.007104955291802591;0.0903954802259887;0.13793103448275862;1.0;0.15958347204374304;0.16362980947961836;0.059322033898305086;0.045454545454545456;0.0;0.07174240841821375;0.9310505101981157;0.9696860920186522;0.8961622587943524;1.0000000000000002
47;8.0;8.0;7.99398994;-5.02056122;16.0;127.90383904;16.131404289999992;12.683878839999991;23.435446619999997;29.960028599999987;-4.737002169999999;7.9762072;15.99491461926;127.6193152;12.127410700000008;15.6639427;22.334837999999987;28.887418999999998;;6.349604207872797;0.0;22.223614727554796;0.25;1.0;1.0;0.0;0.0;-0.2845238399999914;0.0;0.00032;-15412.184;5.3642;0.0002;0.0003;122.946460033246;0.0;0.01069143591675313;0.04519774011299435;0.0;1.0;0.2036337652109244;0.12350545482960973;0.06779661016949153;0.0;1.0;0.06418630851280739;0.9662249914443646;0.9233267910446318;0.9620608779124153;0.8820972958887046
48;8.0;9.0;7.81274414;-1.86199951;17.0;132.81665038;4.912811340000005;14.10313422;26.95385877999999;21.04421563;-0.8087642100000001;7.750729099999999;16.99913175595;131.76239470000002;13.781641100000009;4.143079500000007;25.259850699999998;19.80702220000001;;6.611489018457944;0.0588235294117647;21.779022649037937;0.2425356250363329;1.0;-1.0;0.0;1.0;-1.054255679999983;1.0;0.00069;-2760.4655;0.2479;0.0002;0.00064;132.8643595432372;0.0038359497777852884;0.01047754957221236;0.05084745762711865;0.034482758620689655;0.0;0.19570793029776523;0.12955154747262904;0.06779661016949153;0.0;1.0;0.06616464771387548;0.9339304119119936;0.929689786981185;0.937368172275763;0.8922686916196283
49;8.0;10.0;7.83562803;-2.01527405;18.0;141.04130454;8.22465416;16.227361149999993;30.670637979999995;13.137465500000005;-0.78281634;7.7670981;17.99915961214;139.8077658;15.941865999999994;8.04537109999999;29.054892199999987;12.188450599999996;;6.868285455319991;0.2222222222222222;21.367999194328863;0.2357022603955158;1.0;1.0;0.0;2.0;-1.2335387400000002;2.0;0.00069;-1655.9288;0.4633;0.0002;0.00064;140.4115017219449;0.014491365827188869;0.010279812571270927;0.05649717514124294;0.06896551724137931;1.0;0.18845211580450077;0.1354801656471466;0.06779661016949153;0.0;1.0;0.07000634880463905;0.9448690772052941;0.9379990903652486;0.916650669502034;0.9054655125810478
50;8.0;11.0;7.59940529;2.70870972;19.0;144.38870051;3.347395970000008;17.22277643000001;33.73818404000001;11.572050130000008;3.3328580000000003;7.5664952;19.003577969;143.7634088;17.069280199999994;3.955643000000011;32.27696340000001;12.0010141;;7.1203673589019925;0.4736842105263157;20.986345899921663;0.2294157338705617;1.0;-1.0;0.0;3.0;-0.6252917099999991;3.0;2.83;4820.3029;2.637;0.1388;2.637;145.96885047176804;0.030889490315849952;0.010096205098337507;0.06214689265536723;0.10344827586206896;0.0;0.18177694585972828;0.14129994014754627;0.06779661016949153;0.0;1.0;0.07189518622915156;0.9334050013718772;0.9423356882015672;0.916140965529619;0.9166698951289979
51;8.0;12.0;7.56103277;3.94813538;20.0;151.2206554;6.831954889999992;19.33866594;36.93525699999999;10.17935086;3.796172;7.5685707;20.004075357;151.371414;19.3490552;7.608005199999985;35.70103619999999;11.563648199999996;;7.368062997280773;0.8;20.630576392386168;0.2236067977499789;1.0;1.0;0.0;4.0;0.1507585999999889;4.0;0.95;3813.6349;0.8854;0.0442;0.885;149.84076281135913;0.05216891697787993;0.009925049913297585;0.06779661016949153;0.13793103448275862;1.0;0.17560889174442326;0.14701844964629782;0.06779661016949153;0.0;1.0;0.07552804312438849;0.9436430798475356;0.9511048409515444;0.9149516180085713;0.9285767150413667
52;8.0;13.0;7.34689617;8.95535278;21.0;154.28481957;3.064164169999998;19.91025816999999;39.4415325;9.89611905999999;8.062033999999999;7.3893747;21.008654948;155.1768687;20.993434699999984;3.805454700000002;38.92966269999999;11.413459899999989;;7.611662611020244;1.1904761904761905;20.29776696272065;0.2182178902359924;1.0;-1.0;0.0;5.0;0.8920491300000037;5.0;12.882;8109.639;12.1342;0.5714;12.0;152.27327154386683;0.07763231693136895;0.009764940465155098;0.07344632768361582;0.1724137931034483;0.0;0.16988683309570327;0.152642394880776;0.06779661016949153;0.0;1.0;0.07734516495632505;0.9329840027092785;0.9574299454089713;0.9145432046359344;0.9398038928922005
53;8.0;14.0;7.31554604;10.3695374;22.0;160.94201288;6.657193309999997;21.90212839999998;41.96946348;9.721357479999996;9.283032;7.3648722;22.009965744;162.02718839999997;23.237854499999987;6.850319699999993;42.798476399999984;10.655774399999997;;7.851424410539689;1.6363636363636365;19.98544395410103;0.2132007163556104;1.0;1.0;0.0;6.0;1.0851755199999786;6.0;61.107;6489.6562;58.2558;2.5873;56.921;153.4673756976655;0.10670914836384532;0.009614686716027419;0.0790960451977401;0.20689655172413793;1.0;0.16455948926583405;0.15817773711354083;0.06779661016949153;0.0;1.0;0.08061622359817802;0.9415191821659561;0.9660631044098696;0.9124827985293797;0.9532572482064933
54;8.0;15.0;7.04261446;17.4028015;23.0;161.98013258;1.03811970000001;22.161771259999995;44.10519176;7.695313010000007;14.621371;7.1634856;23.015696686;164.76016879999997;24.43240539999999;2.7329804;45.60616879999999;9.583300099999994;;8.087579399090064;2.130434782608696;19.69149766734972;0.2085144140570747;1.0;-1.0;0.0;5.0;2.780036219999971;7.0;130.663;11336.1072;126.1904;5.2918;121.712;153.58885916649194;0.13892809412587592;0.009473273722403454;0.0847457627118644;0.1724137931034483;0.0;0.15958347204374304;0.16362980947961836;0.06779661016949153;0.0;1.0;0.08192123410089001;0.929977708304379;0.9706579435100978;0.9095663739748079;0.9630206760682277
55;8.0;16.0;6.88079071;22.3153381;24.0;165.13897704;3.158844460000012;24.275591350000013;46.62116708000002;4.196964160000022;18.500404;7.039685499999999;24.019861;168.952452;25.50899369999999;4.192283200000006;49.68874039999999;6.925263600000005;;8.320335292207616;2.6666666666666665;19.414115681817773;0.2041241452319315;1.0;1.0;0.0;4.0;3.8134749599999793;8.0;177.0;10955.8885;191.6327;6.8698;164.874;152.77565095170243;0.17389638992626644;0.009339829556855556;0.0903954802259887;0.13793103448275862;1.0;0.15492178957175484;0.16900340747429807;0.06779661016949153;0.0;1.0;0.08392306829126439;0.9340683367163553;0.9747990395619179;0.9023382633193378;0.9772173499299961
56;9.0;8.0;7.58744287;1.18577576;17.0;128.98652879;17.576860789999998;1.08268975;13.766568589999991;33.561635839999994;1.951701;7.542328400000001;17.002095237;128.2195828;0.6002676000000065;16.794798800000002;12.727678300000012;30.757687300000004;;6.611489018457944;0.0588235294117647;28.001600548763065;0.2425356250363329;-1.0;1.0;1.0;0.0;-0.7669459899999822;-1.0;0.266;-14548.7507;0.4323;0.0146;0.248;128.5272227471288;0.0038359497777852884;0.013471135164273037;0.04519774011299435;0.0;1.0;0.19570793029776523;0.12955154747262904;0.07627118644067797;0.045454545454545456;0.0;0.06447293900691475;0.9693949381425527;0.8789876441486688;0.9671467773076337;0.8486895013998524
57;9.0;9.0;7.75390863;-1.32667542;18.0;139.57035534;10.583826549999998;6.753704959999993;20.856839179999994;28.16068734;0.873112;7.6316383;18.000937324;137.3694894;5.607094699999987;9.149906599999987;19.3887358;25.944705399999997;;6.868285455319991;0.0;27.473141821279967;0.2357022603955158;-1.0;-1.0;1.0;1.0;-2.20086594;0.0;0.497;-4444.5049;0.5888;0.0257;0.463;141.3306617554044;0.0;0.013216901877348336;0.05084745762711865;0.034482758620689655;0.0;0.18845211580450077;0.1354801656471466;0.07627118644067797;0.045454545454545456;0.0;0.06884206079492088;0.9479652436063566;0.8982464006630724;0.9540586328235473;0.8718525638436283
58;9.0;10.0;7.87520552;-3.31384277;19.0;149.62890488;10.05854954;8.587600339999995;24.814961489999988;20.64237609;-1.48744512;7.7790192;18.99840316207;147.8013648;7.993598999999987;10.43187539999999;23.935464999999983;19.58178199999998;;7.1203673589019925;0.0526315789473684;26.982444728470718;0.2294157338705617;-1.0;1.0;1.0;2.0;-1.8275400800000057;1.0;0.00088;-3239.4986;0.1601;0.0002;0.00082;151.59378011458514;0.003432165590649994;0.012980835126433941;0.05649717514124294;0.06896551724137931;1.0;0.18177694585972828;0.14129994014754627;0.07627118644067797;0.045454545454545456;0.0;0.07382332848347906;0.9515587801887212;0.9074260875818152;0.9367556671090129;0.8876632924515916
59;9.0;11.0;7.73759747;-0.365509033;20.0;154.7519494;5.123044520000008;10.363248889999994;27.586025320000005;15.181594060000007;-0.017463;7.7201351;19.999981252;154.40270200000003;10.639293200000017;6.601337200000038;27.70857340000001;17.033212600000027;;7.368062997280773;0.2;26.525026790210784;0.2236067977499789;-1.0;-1.0;1.0;3.0;-0.3492473999999674;2.0;0.031;7024.4689;0.0297;0.0015;0.03;159.70333088407537;0.013042229244469983;0.012760778459954037;0.06214689265536723;0.10344827586206896;0.0;0.17560889174442326;0.14701844964629782;0.07627118644067797;0.045454545454545456;0.0;0.07697549685539398;0.9408212496405168;0.917602748247683;0.9298252349511607;0.9007838435767449
60;9.0;12.0;7.75997353;-0.501617432;21.0;162.95944413;8.207494730000008;11.73878873000001;31.07745467000001;13.330539250000015;-0.0476049999999999;7.7382934;20.999948893;162.5041614;11.132747399999992;8.101459399999964;30.481802599999995;14.7027966;;7.611662611020244;0.4285714285714285;26.09712895206941;0.2182178902359924;-1.0;1.0;1.0;4.0;-0.4552827300000217;3.0;1.932;5684.1712;1.8004;0.0857;1.8;165.97206861824313;0.027947634095292814;0.012554923455199414;0.06779661016949153;0.13793103448275862;1.0;0.16988683309570327;0.152642394880776;0.07627118644067797;0.045454545454545456;0.0;0.08084398036310399;0.9450263004995682;0.919500819441076;0.9234880365262035;0.9104274296185262
61;9.0;13.0;7.62436199;2.79324341;22.0;167.73596378;4.776519649999983;13.451144209999995;33.36140237999999;12.98401437999999;2.7933760000000003;7.6242954;22.002998812;167.7344988;12.55763010000001;5.2303374000000185;33.55106479999999;13.331796799999982;;7.851424410539689;0.7272727272727273;25.695570798129896;0.2132007163556104;-1.0;-1.0;1.0;5.0;-0.0014649799999801;4.0;13.31;10818.0916;12.399;0.5636;12.399;170.6555991055592;0.04742628816170903;0.012361740063463826;0.07344632768361582;0.1724137931034483;0.0;0.16455948926583405;0.15817773711354083;0.07627118644067797;0.045454545454545456;0.0;0.08334149012926526;0.936978146800795;0.9249816296294059;0.9197598190005872;0.921100436418861
62;9.0;14.0;7.62257719;3.28131104;23.0;175.31927537;7.583311590000022;14.37726249000002;36.27939089;12.359831240000004;3.285263;7.622344699999999;23.003526875;175.3139281;13.286739700000004;7.579429299999989;36.5245942;12.809766700000008;;8.087579399090064;1.0869565217391304;25.31763985802107;0.2085144140570747;-1.0;1.0;1.0;6.0;-0.0053472700000156;5.0;35.77;8439.3084;33.3206;1.4487;33.32;173.96482936394185;0.07088168067646729;0.01217992335737587;0.0790960451977401;0.20689655172413793;1.0;0.15958347204374304;0.16362980947961836;0.07627118644067797;0.045454545454545456;0.0;0.08696070190299877;0.9435629776313007;0.9277861491341266;0.9183402405530053;0.9314405434019644
63;9.0;15.0;7.42015696;8.5881958;24.0;178.08376704;2.764491669999984;16.103634459999995;38.26540571999999;10.347803260000006;7.544516;7.4635831;24.00809937;179.1259944;14.365825600000012;3.812066300000006;38.798231;11.391495599999995;;8.320335292207616;1.5;24.96100587662285;0.2041241452319315;-1.0;-1.0;1.0;5.0;1.0422273599999985;6.0;104.853;13496.1583;97.6717;4.0696;97.67;176.0753018192566;0.09781671933352487;0.012008352287385712;0.0847457627118644;0.1724137931034483;0.0;0.15492178957175484;0.16900340747429807;0.07627118644067797;0.045454545454545456;0.0;0.08878098080384067;0.9330025359422777;0.9319368522023884;0.9144834761894401;0.9393468542501843
