Z,N,dz_BE/A,dz_ME,A,dz_BE,dz_S1n,dz_S1p,dz_S2p,dz_S2n,ame_ME,ame_BE/A,ame_AM,ame_BE,ame_S2p,ame_S2n,BE_diff_dz_ame
6,10,6.89816666,14.0773163,16,110.37066656,4.507874959999995,23.188838509999997,42.11748226,5.902274140000003,13.694132999999999,6.9220546,16.014701255,110.7528736,42.188312,5.468396399999998,0.3822070399999973
8,8,7.99398994,-5.02056122,16,127.90383904,16.131404289999992,12.683878839999991,23.435446619999993,29.960028599999987,-4.737002169999999,7.9762072,15.99491461926,127.6193152,16.86644159999999,28.887418999999994,-0.2845238399999914
7,9,7.41959476,4.95211029,16,118.71351616,3.493555959999995,12.850724559999989,33.43795963999999,13.427935480000002,5.6839070000000005,7.3737971,16.006101925,117.9807536,29.863097599999993,13.322146399999998,-0.7327625599999976
9,8,7.58744287,1.18577576,17,128.98652879,17.576860789999998,1.0826897500000001,13.766568589999991,33.561635839999994,1.9517010000000001,7.542328400000001,17.002095237,128.2195828,4.353683000000005,30.757687300000004,-0.7669459899999822
5,12,5.17970181,45.2467651,17,88.05493077,1.0973501299999953,21.80161957,49.412617319999995,0.8731027199999915,43.716322,5.2696677,17.046931399,89.5843509,-21.840433099999995,1.3836938999999984,1.5294201300000054
8,9,7.81274414,-1.86199951,17,132.81665038,4.912811340000005,14.103134220000001,26.95385877999999,21.044215629999997,-0.8087642100000001,7.750729099999999,16.99913175595,131.76239470000002,20.275949300000008,19.807022200000006,-1.0542556800000114
6,11,6.50885391,21.8688431,17,110.65051647,0.2798499099999958,23.692935829999996,44.979582719999996,4.787724869999991,21.03188,6.5580262000000005,17.02257865,111.4864454,14.155602199999993,4.983901399999988,0.8359289300000086
10,7,6.66126966,16.1483688,17,113.24158422000001,17.6568903,1.8319162200000108,1.469149470000005,43.78299222,16.500452000000003,6.6404991,17.017713962,112.8884847,-18.873910000000002,39.857557199999995,-0.35309952000000067
7,10,7.34199667,6.92305756,17,124.81394339,6.100427230000008,14.443276830000002,37.63211534,9.593983190000003,7.870079,7.2862294,17.008448876,123.8658998,34.2815489,8.37399530000001,-0.9480435900000117
8,10,7.83562803,-2.01527405,18,141.04130454,8.22465416,16.227361149999993,30.670637979999995,13.137465500000005,-0.78281634,7.7670981,17.99915961214,139.8077658,24.13738799999999,12.188450599999996,-1.2335387400000002
10,8,7.38841915,4.4697876,18,132.9915447,19.749960479999984,4.005015909999997,5.0877056599999975,37.406850779999985,5.317617,7.3412577,18.005708696,132.1426386,-7.665127199999988,34.8117954,-0.8489060999999936
9,9,7.75390863,-1.32667542,18,139.57035534,10.583826549999998,6.753704959999993,20.856839179999994,28.160687339999996,0.873112,7.6316383,18.000937324,137.3694894,10.67536079999998,25.944705399999993,-2.20086594
6,12,6.3491888,26.3053284,18,114.2853984,3.634881930000006,26.230467630000007,48.03208720000001,3.9147318400000017,24.919266,6.4261321,18.02675193,115.6703778,21.783367700000003,4.917504199999995,1.384979400000006
5,13,4.92249775,52.7681198,18,88.60495949999999,0.550028729999994,23.893143019999997,50.194322539999995,1.6473788599999892,51.79264,4.9766306,18.055601683,89.57935080000001,-23.309133899999985,1.461694800000012,0.9743913000000077
7,11,7.06477356,12.6424561,18,127.16592408,2.3519806899999907,16.515407609999997,40.20834343999999,8.452407919999999,13.113166999999999,7.038562700000001,18.014077563,126.69412860000001,37.1147778,8.713375000000015,-0.47179547999998306
10,9,7.65431118,0.100799561,19,145.43191242,12.440367720000012,5.861557080000011,12.615262040000005,32.190328199999996,1.752054,7.5673431,19.001880906,143.7795189,0.01611009999999078,30.891034199999993,-1.652393520000004
6,13,6.04438353,33.8188248,19,114.84328707,0.557888669999997,26.23832757000001,50.131470590000006,4.192770600000003,32.413754,6.118274,19.034797594,116.247206,4.607289199999999,4.760760600000009,1.4039189300000032
5,14,4.75975418,59.0091324,19,90.43532942,1.8303699200000096,23.70546248000001,52.38040595,2.3803986500000036,59.770250999999995,4.7196346,19.064166,89.6730574,-42.4695812,0.08870650000000023,-0.7622720199999975
8,11,7.59940529,2.70870972,19,144.38870051,3.347395970000008,17.22277643000001,33.73818404000001,11.572050130000008,3.3328580000000003,7.5664952,19.003577969,143.7634088,27.5162028,12.0010141,-0.6252917099999991
9,10,7.87520552,-3.31384277,19,149.62890488,10.058549540000001,8.587600339999995,24.814961489999988,20.64237609,-1.48744512,7.7790192,18.99840316207,147.8013648,15.779005999999994,19.58178199999998,-1.8275400800000057
7,12,6.94115734,15.9977722,19,131.88198946,4.716065380000003,17.596591059999994,43.82705869,7.068046069999994,15.856254999999999,6.9485452,19.017022389,132.02235879999998,42.34930139999998,8.156458999999987,0.14036934000000656
10,10,8.04276276,-7.25115967,20,160.85525520000002,15.423342780000013,11.226350320000023,19.813950660000017,27.863710500000025,-7.04193217,8.0322412,19.99244017525,160.64482400000003,9.273410000000032,28.502185400000016,-0.21043120000001636
12,8,6.67751837,18.4890289,20,133.5503674,23.016007869999996,1.8243533099999922,0.5588227000000074,44.041748139999996,17.477694,6.7280252,20.018763075,134.560504,-26.084320000000005,-101.62349599999999,1.0101366000000098
9,11,7.73759747,-0.365509033,20,154.7519494,5.123044520000008,10.363248889999994,27.586025320000005,15.181594060000009,-0.017463,7.7201351,19.999981252,154.40270200000003,20.21926800000001,17.033212600000027,-0.3492473999999959
11,9,7.29923105,6.83712769,20,145.984621,14.258606909999997,0.5527085800000009,6.414265660000012,35.072600260000016,6.850489,7.2985028000000005,20.007354301,145.970056,-8.432646000000007,34.330139200000005,-0.014565000000004602
6,14,5.94862747,37.7609406,20,118.97254939999999,4.129262329999989,28.53721997999999,52.24268246,4.687150999999986,37.503567000000004,5.9614356,20.040261732,119.228712,7.100227199999994,3.5583341999999973,0.25616260000001034
8,12,7.56103277,3.94813538,20,151.2206554,6.831954889999992,19.33866594,36.93525699999999,10.17935086,3.796172,7.5685707,20.004075357,151.371414,32.14270199999999,11.563648199999996,0.1507586000000174
7,13,6.71872807,21.5765839,20,134.3745614,2.492571940000005,19.531274330000002,45.76960190000001,7.208637320000008,21.766498,6.7091717,20.023367295,134.183434,46.070376,7.4893053999999974,-0.19112739999999917
11,10,7.7463541,-1.78030396,21,162.6734361,16.6888151,1.8181808999999873,13.04453122000001,30.947422009999997,-2.184857,7.7655581,20.997654459,163.07672010000002,0.5725587000000233,31.256878499999992,0.4032839999999851
8,13,7.34689617,8.95535278,21,154.28481957,3.064164169999998,19.91025816999999,39.441532499999994,9.89611905999999,8.062033999999999,7.3893747,21.008654948,155.1768687,36.02286869999999,11.413459899999987,0.8920491300000037
9,12,7.75997353,-0.501617432,21,162.95944413,8.207494730000008,11.73878873000001,31.07745467000001,13.330539250000015,-0.047604999999999995,7.7382934,20.999948893,162.5041614,23.714827499999984,14.702796600000001,-0.45528273000002173
7,14,6.62094688,24.9826355,21,139.03988448,4.665323080000007,20.06733508000002,48.60455506000001,7.157895020000012,25.231915,6.6090159,21.027087573,138.7893339,51.58627739999999,6.7669751000000105,-0.2505505800000094
12,9,7.10688543,10.8661804,21,149.24459403,15.694226630000003,3.2599730299999976,3.8126816099999985,38.7102345,10.903851000000001,7.1050317,21.011705764,149.2056657,-18.200319900000032,37.07718089999998,-0.03892833000000451
10,11,7.96304178,-5.54840088,21,167.22387738,6.3686221799999885,12.471927980000004,22.835176869999998,21.79196496,-5.731776,7.9717136,20.993846685,167.4059856,12.229116900000022,23.62646670000002,0.18210822000000348
8,14,7.31554604,10.3695374,22,160.94201288,6.657193309999997,21.90212839999998,41.96946348,9.721357479999995,9.283031999999999,7.3648722,22.009965744,162.02718839999997,42.76347679999999,10.655774399999995,1.085175520000007
9,13,7.62436199,2.79324341,22,167.73596378,4.776519649999983,13.451144209999995,33.36140237999999,12.98401437999999,2.7933760000000003,7.6242954,22.002998812,167.7344988,27.406735400000006,13.331796799999982,-0.0014649799999801871
11,11,7.90865135,-5.02581787,22,173.99032970000002,11.316893600000014,6.766452320000013,19.238380300000017,28.005708700000014,-5.181391,7.9156624,21.994437547,174.1445728,6.410073999999994,28.17451679999998,0.1542431000000022
12,10,7.62406158,0.452804565,22,167.72935476,18.484760730000005,5.055918660000003,6.874099559999991,34.17898736000001,-0.399986,7.662764500000001,21.999570597,168.58081900000002,-9.18942419999998,34.020315000000004,0.8514642400000128
10,12,8.05407906,-7.44288635,22,177.18973932,9.965861939999996,14.230295189999993,25.969083920000003,16.334484119999985,-8.024716,8.0804656,21.991385113,177.7702432,15.743054800000012,17.125419199999975,0.5805038800000091
7,15,6.35538006,32.2755432,22,139.81836132,0.7784768399999962,21.943420500000002,49.99283612000001,5.443799920000004,31.764805,6.3785347,22.034100918,140.3277634,8.090763399999997,6.144329399999988,0.509402080000001
7,16,6.12449503,39.3018951,23,140.86338569,1.045024369999993,22.345575730000007,52.73512694,1.8235012099999892,36.720428999999996,6.2366721,23.039421,143.4434583,10.475458299999998,4.654124400000001,2.580072610000002
10,13,7.9503932,-5.040802,23,182.8590436,5.669304280000006,15.123079820000015,28.57422403000001,15.635166220000002,-5.154045,7.9552561,22.994466905,182.9708903,18.210721500000012,15.564904699999985,0.11184670000000096
11,12,8.06556988,-8.47221375,23,185.50810724,11.517777539999969,8.318367919999986,22.54866310999998,22.834671139999983,-9.529853520000001,8.1114936,22.98976928195,186.5643528,11.250424700000003,23.48763269999999,1.0562455600000078
14,9,6.54660749,24.1168671,23,150.57197227,18.498382050000004,1.8773329900000135,1.3273782400000016,44.294810229999996,23.95,6.554,23.025711,150.742,-30.983826700000005,-137.874,0.17002773000001525
13,10,7.30980396,7.34570312,23,168.12549108,19.4308518,0.39613631999998233,5.452054979999986,36.91324236,6.7480709999999995,7.3357275,23.007244351,168.7217325,-17.84262029999998,36.484732500000014,0.5962414200000126
12,11,7.85286236,-4.36228943,23,180.61583428,12.886479519999995,6.625504579999983,13.391956899999997,31.37124025,-5.473675,7.901122900000001,22.994123768,181.7258267,-1.245063599999994,32.52016100000002,1.109992420000026
9,14,7.62257719,3.28131104,23,175.31927537,7.583311590000022,14.377262490000021,36.27939089,12.359831240000005,3.285263,7.622344699999999,23.003526875,175.3139281,31.87046979999999,12.809766700000008,-0.005347270000015669
8,15,7.04261446,17.4028015,23,161.98013258,1.03811970000001,22.161771259999995,44.10519176,7.695313010000007,14.621371,7.1634856,23.015696686,164.76016879999997,47.98916879999999,9.583300099999994,2.7800362199999995
12,12,8.20148849,-12.5108032,24,196.83572375999998,16.219889479999978,11.327616519999992,19.645984439999978,29.106368999999972,-13.933577999999999,8.260710300000001,23.985041689,198.25704720000002,6.417242400000017,29.67622820000001,1.4213234400000658
11,13,8.02840996,-7.5745697,24,192.68183904,7.173731800000013,9.822795439999993,24.945875260000008,18.691509339999982,-8.417901,8.0634882,23.990963012,193.5237168,14.3977224,19.379144,0.8418777599999885
14,10,7.15810776,10.9656372,24,171.79458624,21.222613969999998,3.669095160000012,4.065231479999994,39.72099602,10.745186,7.1672329,24.01153543,172.01358960000002,-26.243457600000024,39.04558960000001,0.21900335999998788
13,11,7.60624647,0.992660522,24,182.54991528,14.424424200000004,1.934080999999992,8.559585579999975,33.855276,-0.048811999999999994,7.6495806,23.999947598,183.5899344,-9.933782399999997,34.3859344,1.0400191200000108
